tissue	module_color	gene_id	module_membership	n_genes_in_module
Leaf	magenta	Solyc04g071650.4	0.926778746053783	150
Leaf	magenta	Solyc07g065860.3	0.92646015316766	150
Leaf	magenta	Solyc06g060620.4	0.91964144759839	150
Leaf	magenta	Solyc09g091780.3	0.905958723159803	150
Leaf	green	Solyc03g119250.4	0.975758272332007	209
Leaf	green	Solyc04g005050.1	0.966618571669921	209
Leaf	green	Solyc08g008280.3	0.966257577982424	209
Leaf	green	Solyc03g005570.3	0.961972490453503	209
Leaf	green	Solyc04g054690.3	0.958964017323993	209
Leaf	green	Solyc09g014990.4	0.955462155152444	209
Leaf	green	Solyc08g068600.3	0.946632210791327	209
Leaf	green	Solyc05g009650.4	0.945825530775669	209
Leaf	green	Solyc06g082080.3	0.934626759714326	209
Leaf	green	Solyc03g083480.4	0.933308549423498	209
Leaf	black	Solyc02g063150.3	0.971587355140315	187
Leaf	black	Solyc04g082010.1	0.966200645841908	187
Leaf	black	Solyc02g069460.3	0.96582631226433	187
Leaf	black	Solyc10g005050.3	0.96277757070429	187
Leaf	black	Solyc10g008740.3	0.961520007452787	187
Leaf	black	Solyc05g009570.3	0.959330404420432	187
Leaf	black	Solyc06g005710.3	0.955219014221034	187
Leaf	black	Solyc02g069450.3	0.952920303289846	187
Leaf	black	Solyc04g009540.1	0.950904173321761	187
Leaf	black	Solyc01g096240.4	0.945067285571031	187
Leaf	pink	Solyc08g077020.1	0.943950838170714	152
Leaf	pink	Solyc09g056450.4	0.931042712959354	152
Leaf	pink	Solyc06g069420.3	0.9305522971465	152
Leaf	pink	Solyc03g116340.3	0.930287151011755	152
Leaf	pink	Solyc08g077210.4	0.917341204495857	152
Leaf	pink	Solyc02g069910.2	0.911309157843902	152
Leaf	pink	Solyc01g112000.4	0.911245397886954	152
Leaf	pink	Solyc08g077560.4	0.904736702419562	152
Leaf	pink	Solyc06g030470.4	0.898542601317401	152
Leaf	pink	Solyc03g097050.3	0.891823049189584	152
Leaf	greenyellow	Solyc01g106620.2	0.941330273180978	46
Leaf	greenyellow	Solyc08g080640.2	0.93540335344673	46
Leaf	greenyellow	Solyc02g087070.4	0.931696242754444	46
Leaf	greenyellow	Solyc01g059965.1	0.923457764160534	46
Leaf	greenyellow	Solyc05g009120.3	0.90740364683152	46
Leaf	greenyellow	Solyc09g091670.3	0.883449322752279	46
Leaf	greenyellow	Solyc01g060020.4	0.880755238881151	46
Leaf	greenyellow	Solyc12g005940.2	0.879638696226543	46
Leaf	greenyellow	Solyc10g055810.2	0.869412663204013	46
Leaf	greenyellow	Solyc08g080630.4	0.867726399249205	46
Leaf	red	Solyc04g076980.3	0.968219255730814	202
Leaf	red	Solyc04g049680.2	0.953788807349639	202
Leaf	red	Solyc04g016260.3	0.951921591843463	202
Leaf	red	Solyc02g032960.2	0.94603260449322	202
Leaf	red	Solyc11g011080.3	0.92852870656512	202
Leaf	red	Solyc04g049930.2	0.922813648223773	202
Leaf	red	Solyc08g077120.2	0.922010874380701	202
Leaf	red	Solyc09g005330.3	0.916614243018534	202
Leaf	red	Solyc04g049380.4	0.916219730776177	202
Leaf	red	Solyc08g074440.4	0.915991295933376	202
Leaf	purple	Solyc10g086580.2	0.985270021364139	109
Leaf	purple	Solyc06g073260.3	0.97706435732876	109
Leaf	purple	Solyc02g082760.3	0.971715405750664	109
Leaf	purple	Solyc01g111630.3	0.967817299312623	109
Leaf	purple	Solyc12g036170.2	0.966122212440694	109
Leaf	purple	Solyc05g013380.3	0.958069700644584	109
Leaf	purple	Solyc11g006020.2	0.958036659227342	109
Leaf	purple	Solyc04g050930.3	0.956699922220799	109
Leaf	purple	Solyc08g079180.3	0.955956757889907	109
Leaf	purple	Solyc01g096660.3	0.952269341018459	109
