tissue	module_color	gene_id	module_membership	n_genes_in_module
Leaf	turquoise	Solyc01g008110.4	0.970588028203987	2037
Leaf	turquoise	Solyc01g066680.3	0.966472462290374	2037
Leaf	turquoise	Solyc05g009880.3	0.96345642254751	2037
Leaf	turquoise	Solyc06g065680.3	0.963365224079851	2037
Leaf	turquoise	Solyc02g087980.3	0.962889503511892	2037
Leaf	turquoise	Solyc07g043460.3	0.959907946112554	2037
Leaf	turquoise	Solyc06g071330.4	0.957818199914764	2037
Leaf	turquoise	Solyc03g121760.3	0.957429989514874	2037
Leaf	turquoise	Solyc11g072980.1	0.956682780364132	2037
Leaf	turquoise	Solyc05g013690.4	0.955256046348229	2037
Leaf	blue	Solyc04g007800.4	0.983372418114446	1012
Leaf	blue	Solyc05g007880.4	0.979760659841056	1012
Leaf	blue	Solyc11g032100.2	0.977390853820013	1012
Leaf	blue	Solyc08g082130.3	0.976965608588969	1012
Leaf	blue	Solyc01g066880.3	0.973845119305963	1012
Leaf	blue	Solyc12g017370.3	0.973131237039495	1012
Leaf	blue	Solyc05g006830.3	0.97132553554191	1012
Leaf	blue	Solyc12g013650.2	0.969653785327771	1012
Leaf	blue	Solyc07g045460.3	0.969487067209511	1012
Leaf	blue	Solyc11g012410.2	0.967452214602774	1012
Leaf	brown	Solyc06g067980.3	0.961829029954094	347
Leaf	brown	Solyc03g098740.1	0.956299307861095	347
Leaf	brown	Solyc03g007790.3	0.952843908540691	347
Leaf	brown	Solyc03g096670.3	0.952687773398414	347
Leaf	brown	Solyc01g079300.4	0.952466739989513	347
Leaf	brown	Solyc06g074940.4	0.951615442912919	347
Leaf	brown	Solyc02g087890.4	0.951456634920319	347
Leaf	brown	Solyc02g070580.1	0.944363779477024	347
Leaf	brown	Solyc01g067380.4	0.943369616264859	347
Leaf	brown	Solyc01g099810.3	0.942445402879658	347
Leaf	tan	Solyc09g072770.1	0.924306236053438	41
Leaf	tan	Solyc01g097280.2	0.924126937514554	41
Leaf	tan	Solyc09g092760.2	0.912293965440695	41
Leaf	tan	Solyc07g049550.3	0.90592957482231	41
Leaf	tan	Solyc06g075050.2	0.899796711690408	41
Leaf	tan	Solyc11g005480.2	0.892505559795844	41
Leaf	tan	Solyc03g114530.4	0.868396846860984	41
Leaf	tan	Solyc03g020040.3	0.865957681349954	41
Leaf	tan	Solyc03g020030.3	0.861103224092263	41
Leaf	tan	Solyc10g074440.2	0.859664030310179	41
Leaf	yellow	Solyc09g092110.4	0.974212108470947	238
Leaf	yellow	Solyc06g073090.3	0.97388148143175	238
Leaf	yellow	Solyc01g108910.4	0.973701830432307	238
Leaf	yellow	Solyc10g078920.3	0.967495011514793	238
Leaf	yellow	Solyc06g006000.3	0.956536613140322	238
Leaf	yellow	Solyc05g053100.3	0.954245000072696	238
Leaf	yellow	Solyc03g005760.1	0.950631003424124	238
Leaf	yellow	Solyc01g006020.4	0.949968353107417	238
Leaf	yellow	Solyc01g087800.2	0.948443162843261	238
Leaf	yellow	Solyc02g077880.3	0.94844037795956	238
Leaf	magenta	Solyc05g015070.4	0.970329109565357	150
Leaf	magenta	Solyc04g008620.3	0.948841883670943	150
Leaf	magenta	Solyc03g114730.3	0.946011655234836	150
Leaf	magenta	Solyc12g099400.2	0.940559098127688	150
Leaf	magenta	Solyc08g065430.3	0.936985516385629	150
Leaf	magenta	Solyc02g093980.3	0.930864154036734	150
