function	VEG-05-F-tomato-SN-01-wick_S1_L001	VEG-05-F-tomato-SN-03-soil-2_S9_L001	VEG-05-G-tomato-SN-07-soil-2_S98_L001	VEG-05-G-tomato-SN-07-soil-3_S99_L001	VEG-05-G-tomato-SN-10-wick_S100_L001	VEG-05-G-tomato-SN-10-root_S101_L001	VEG-05-G-tomato-SN-10-soil-1_S102_L001	VEG-05-G-tomato-SN-10-soil-2_S103_L001	VEG-05-G-tomato-SN-10-soil-3_S104_L001	VEG-05-G-water-SN-006-blue-rich_S105_L001	VEG-05-G-water-SN-003-red-rich_S106_L001	VEG-05F-SN01-leaf-tom-red-rich_S107_L001	VEG-05-F-tomato-SN-03-soil-3_S10_L001	VEG-05F-SN03-leaf-tom-red-rich_S108_L001	VEG-05F-SN04-leaf-tom-red-rich_S109_L001	VEG-05F-SN05-leaf-tom-red-rich_S110_L001	VEG-05F-SN06-leaf-tom-red-rich_S111_L001	VEG-05F-SN07-leaf-tom-blue-rich_S112_L001	VEG-05F-SN08-leaf-tom-blue-rich_S113_L001	VEG-05F-SN010-leaf-tom-blue-rich_S114_L001	VEG-05F-SN012-leaf-tom-blue-rich_S115_L001	VEG-05F-SN01-AdvRoot-tom-red-rich_S116_L001	VEG-05F-SN03-AdvRoot-tom-red-rich_S117_L001	VEG-05F-SN04-AdvRoot-tom-red-rich_S118_L001	VEG-05F-SN05-AdvRoot-tom-red-rich_S119_L001	VEG-05F-SN06-AdvRoot-tom-red-rich_S120_L001	VEG-05F-SN07-AdvRoot-tom-blue-rich_S121_L001	VEG-05F-SN08-AdvRoot-tom-blue-rich_S122_L001	VEG-05F-SN010-AdvRoot-tom-blue-rich_S123_L001	VEG-05F-SN012-AdvRoot-tom-blue-rich_S124_L001	VEG-05-G-SN-01-leaf-tom-red-rich_S125_L001	VEG-05-G-SN-02-leaf-tom-red-rich_S126_L001	VEG-05-G-SN-03-leaf-tom-red-rich_S127_L001	VEG-05-F-tomato-SN-07-wick_S11_L001	VEG-05-G-SN-04-leaf-tom-red-rich_S128_L001	VEG-05-G-SN-05-leaf-tom-red-rich_S129_L001	VEG-05-G-SN-06-leaf-tom-red-rich_S130_L001	VEG-05-G-SN-07-leaf-tom-blue-rich_S131_L001	VEG-05-G-SN-08-leaf-tom-blue-rich_S132_L001	VEG-05-G-SN-09-leaf-tom-blue-rich_S133_L001	VEG-05-G-SN-10-leaf-tom-blue-rich_S134_L001	VEG-05-G-SN-11-leaf-tom-blue-rich_S135_L001	VEG-05-G-SN-12-leaf-tom-blue-rich_S136_L001	VEG-05-G-SN-02-AdvRoots-tom-blue_S137_L001	VEG-05-F-tomato-SN-07-root_S12_L001	VEG-05-G-SN-04-AdvRoots-tom-blue_S138_L001	VEG-05-G-SN-05-AdvRoots-tom-blue_S139_L001	VEG-05-G-SN-07-AdvRoots-tom-blue_S140_L001	VEG-05-G-SN09-AdvRoots-tom-blue-rich_S141_L001	VEG-05-G-SN-10-AdvRoots-tom-blue_S142_L001	VEG-05-F-tomato-SN-07-soil-1_S13_L001	VEG-05-F-tomato-SN-07-soil-2_S14_L001	VEG-05-F-tomato-SN-07-soil-3_S15_L001	VEG-05-F-tomato-SN-10-wick_S16_L001	VEG-05-F-tomato-SN-10-root_S17_L001	VEG-05-F-tomato-SN-01-root_S2_L001	VEG-05-F-tomato-SN-10-soil-1_S18_L001	VEG-05-F-tomato-SN-10-soil-2_S19_L001	VEG-05-F-tomato-SN-10-soil-3_S20_L001	VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001	VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001	VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001	VEG-05-F-tomato-SN-10-GMT83-2-fruit_S24_L001	VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001	VEG-05-F-swab-Locker-1-1_S26_L001	VEG-05-F-swab-Locker-1-2_S27_L001	VEG-05-F-tomato-SN-01-soil-1_S3_L001	VEG-05-F-swab-Locker-1-3_S28_L001	VEG-05-F-swab-Locker-3-1_S29_L001	VEG-05-F-swab-Locker-3-2_S30_L001	VEG-05-F-swab-Locker-3-3_S31_L001	VEG-05-F-water-Locker-1-root-mat_S32_L001	VEG-05-F-water-Locker-3-root-mat_S33_L001	VEG-05-F-water-SN-09_S34_L001	VEG-05-F-water-SN-10_S35_L001	VEG-05-F-swab-SN-01-pillow-exterior_S36_L001	VEG-05-F-swab-SN-03-pillow-exterior_S37_L001	VEG-05-F-tomato-SN-01-soil-2_S4_L001	VEG-05-F-swab-SN-07-pillow-exterior_S38_L001	VEG-05-G-tomato-Blue-Swab-1_S39_L001	VEG-05-G-tomato-Blue-Swab-2_S40_L001	VEG-05-G-tomato-Blue-Swab-3_S41_L001	VEG-05-G-tomato-Blue-Swab-4_S42_L001	VEG-05-G-tomato-Blue-Swab-5_S43_L001	VEG-05-G-tomato-Blue-Swab-6_S44_L001	VEG-05-G-tomato-Blue-Swab-7_S45_L001	VEG-05-G-tomato-Blue-Swab-8_S46_L001	VEG-05-G-tomato-Red-Swab-1_S47_L001	VEG-05-F-tomato-SN-01-soil-3_S5_L001	VEG-05-G-tomato-Red-Swab-2_S48_L001	VEG-05-G-tomato-Red-Swab-3_S49_L001	VEG-05-G-tomato-Red-Swab-4_S50_L001	VEG-05-G-tomato-Red-Swab-5_S51_L001	VEG-05-G-tomato-Red-Swab-6_S52_L001	VEG-05-G-tomato-Red-Swab-7_S53_L001	VEG-05-G-tomato-Red-Swab-8_S54_L001	VEG-05-G-tomato-Hrvst-1-Fruit-1_S55_L001	VEG-05-G-tomato-Hrvst-1-Fruit-2_S56_L001	VEG-05-G-tomato-Hrvst-1-Fruit-3_S57_L001	VEG-05-G-tomato-Hrvst-1-Fruit-4_S58_L001	VEG-05-G-tomato-Hrvst-1-Fruit-5_S59_L001	VEG-05-G-tomato-Hrvst-1-Fruit-7_S60_L001	VEG-05-G-tomato-Hrvst-1-Fruit-8_S61_L001	VEG-05-G-tomato-Hrvst-1-Fruit-9_S62_L001	VEG-05-G-tomato-Hrvst-1-Fruit-10_S63_L001	VEG-05-G-tomato-Hrvst-2-Fruit-1_S64_L001	VEG-05-G-tomato-Hrvst-2-Fruit-2_S65_L001	VEG-05-G-tomato-Hrvst-2-Fruit-3_S66_L001	VEG-05-G-tomato-Hrvst-2-Fruit-4_S67_L001	VEG-05-F-tomato-SN-03-wick_S6_L001	VEG-05-G-tomato-Hrvst-2-Fruit-5_S68_L001	VEG-05-G-tomato-Hrvst-2-Fruit-6_S69_L001	VEG-05-G-tomato-Hrvst-2-Fruit-7_S70_L001	VEG-05-G-tomato-Hrvst-2-Fruit-9_S71_L001	VEG-05-G-tomato-Hrvst-2-Fruit-10_S72_L001	VEG-05-G-tomato-Hrvst-2-Fruit-11_S73_L001	VEG-05-G-tomato-Hrvst-2-Fruit-12_S74_L001	VEG-05-G-tomato-Hrvst-3-Fruit-1_S75_L001	VEG-05-G-tomato-Hrvst-3-Fruit-2_S76_L001	VEG-05-G-tomato-Hrvst-3-Fruit-3_S77_L001	VEG-05-F-tomato-SN-03-root_S7_L001	VEG-05-G-tomato-Hrvst-3-Fruit-4_S78_L001	VEG-05-G-tomato-Hrvst-3-Fruit-5_S79_L001	VEG-05-G-tomato-Hrvst-3-Fruit-7_S80_L001	VEG-05-G-tomato-Hrvst-3-Fruit-8_S81_L001	VEG-05-G-tomato-Hrvst-3-Fruit-10_S82_L001	VEG-05-G-tomato-Hrvst-3-Fruit-11_S83_L001	VEG-05-G-tomato-Hrvst-3-Fruit-12_S84_L001	VEG-05-G-tomato-SN-01-wick_S85_L001	VEG-05-G-tomato-SN-01-root_S86_L001	VEG-05-G-tomato-SN-01-soil-1_S87_L001	VEG-05-F-tomato-SN-03-soil-1_S8_L001	VEG-05-G-tomato-SN-01-soil-2_S88_L001	VEG-05-G-tomato-SN-01-soil-3_S89_L001	VEG-05-G-tomato-SN-03-wick_S90_L001	VEG-05-G-tomato-SN-03-root_S91_L001	VEG-05-G-tomato-SN-03-soil-1_S92_L001	VEG-05-G-tomato-SN-03-soil-2_S93_L001	VEG-05-G-tomato-SN-03-soil-3_S94_L001	VEG-05-G-tomato-SN-07-wick_S95_L001	VEG-05-G-tomato-SN-07-root_S96_L001	VEG-05-G-tomato-SN-07-soil-1_S97_L001
Bacteroides*thetaiotaomicron*	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	0	10	0	0	0	0	0	11	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Methylobacterium*mesophilicum*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	6	0	15	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Roseospira*mediosalina*	10719	3426	93	24	3936	1987	7	71	28	2237	2666	5	3048	8	1	19	3	2	13	20	35	2596	1257	1354	1083	357	469	611	714	930	2	1	1	5309	8	1	1	0	0	1	1	1	0	0	1731	139	3	1430	0	87	2383	4336	3367	2960	1415	2686	2609	3920	3475	11	4	3	4	6	9409	19	3903	1366	100	1230	10357	348	1	1683	907	2770	1629	3864	6271	1	4842	15	62	2	19	3	0	0	4580	0	0	155	4	0	9	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2736	0	0	0	1	1	0	0	0	1	0	1879	0	1	0	0	3	7	4	11998	2089	3309	3929	5850	5534	10600	1809	3775	3979	5136	3090	2718	9
aerobic_chemoheterotrophy	15740	18013	305	78	12529	6928	24	306	66	5254	5477	101	17390	134	130	514	94	94	131	293	341	9749	15649	15921	9236	1299	4385	1408	10736	16425	65	79	60	22654	76	54	74	64	64	79	47	67	61	108	12872	693	80	4775	3	1668	15137	18937	17456	29456	12223	14945	16058	21072	18643	29	33	15	10	26	17459	1585	18948	16989	516	22396	14360	24323	11	8381	5454	6462	24249	18548	14687	29	13187	200	225	15	43	82	3	0	21934	1	0	281	88	23	50	42	1	110	63	59	61	41	39	50	71	155	249	266	37	25410	226	53	290	76	145	43	99	81	80	89	13013	323	67	337	94	126	104	132	6705	6490	10524	23126	13605	13774	4136	7027	9727	11257	15026	8592	8772	37
aliphatic_non_methane_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0	1	6	61	114	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	17	7	0	15	9	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
animal_parasites_or_symbionts	2	0	12	22	0	0	0	7	8	1	1	0	0	0	3	0	1	1	0	0	1	0	11	0	0	0	1	0	0	2	0	0	1	5	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	6	6	6	11	15	0	87	83	29	4	0	0	0	4	0	4	0	1	3	0	0	0	0	0	0	0	0	0	0	3	4	0	6	2	1	12	0	0	0	0	0	15	55	3	19	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	17	1	0	0	4
anoxygenic_photoautotrophy_S_oxidizing	0	43	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7	35	43	0	11	14	42	21	42	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	4	0	0	20	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0
aromatic_compound_degradation	2	0	9	6	0	0	0	1	7	2	4	0	0	0	3	0	0	1	0	0	1	2	11	0	0	0	1	0	0	2	0	0	1	5	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	3	5	20	15	13	8	0	36	26	9	4	0	0	0	4	0	0	10	1	3	2	0	0	0	0	0	0	0	2	0	3	4	0	6	0	1	2	0	0	0	0	0	4	0	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	3	0	8	4	0	0	7	15	6	0	0	4
aromatic_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	61	112	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	6	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellulolysis	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	9	1	1	3	4	0	10	411	619	0	0	0	36	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	9	9	32	2	0	3	1	12	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chitinolysis	18	176	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	6	0	148	0	0	0	0	0	0	0	0	4	0	16	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	92	1	0	0	0	0	0	0	0	0	0
cyanobacteria	24	86	22	0	92	458	29	27	2	8217	15764	0	56	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	1	0	3	0	0	1237	0	2	2	2	2	0	0	18	2	2	2	0	0	0	0	0	1	0	38	60	0	0	1	2	0	0	1	0	2	316	0	0	1772	0	34	0	0	0	0	0	80	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	21	0	0	0	0	0	0	0	77	507	1331	80	1996	1939	37	312	1456	1816	1869	1506	857	2
dark_hydrogen_oxidation	942	3755	74	17	2206	1354	4	117	25	600	591	0	3420	1	0	1	0	2	0	4	2	292	221	276	67	0	3	1	39	226	0	0	0	1025	7	1	0	0	0	0	0	1	1	2	2072	13	2	1058	0	373	2323	3739	2961	708	1846	2383	2830	3587	3480	1	3	0	4	1	4143	9	2387	1538	3	4376	1367	207	1	1986	1159	223	306	2711	417	1	2757	10	29	0	8	2	1	0	3255	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1007	0	0	0	0	0	0	0	0	0	1	2281	0	0	0	0	1	2	2	606	1284	2759	4878	3524	3405	188	1599	2803	3258	4001	968	1552	4
