function	VEG-05-F-tomato-SN-01-wick_S1_L001	VEG-05-F-tomato-SN-03-soil-2_S9_L001	VEG-05-G-tomato-SN-07-soil-2_S98_L001	VEG-05-G-tomato-SN-07-soil-3_S99_L001	VEG-05-G-tomato-SN-10-wick_S100_L001	VEG-05-G-tomato-SN-10-root_S101_L001	VEG-05-G-tomato-SN-10-soil-1_S102_L001	VEG-05-G-tomato-SN-10-soil-2_S103_L001	VEG-05-G-tomato-SN-10-soil-3_S104_L001	VEG-05-G-water-SN-006-blue-rich_S105_L001	VEG-05-G-water-SN-003-red-rich_S106_L001	VEG-05F-SN01-leaf-tom-red-rich_S107_L001	VEG-05-F-tomato-SN-03-soil-3_S10_L001	VEG-05F-SN03-leaf-tom-red-rich_S108_L001	VEG-05F-SN04-leaf-tom-red-rich_S109_L001	VEG-05F-SN05-leaf-tom-red-rich_S110_L001	VEG-05F-SN06-leaf-tom-red-rich_S111_L001	VEG-05F-SN07-leaf-tom-blue-rich_S112_L001	VEG-05F-SN08-leaf-tom-blue-rich_S113_L001	VEG-05F-SN010-leaf-tom-blue-rich_S114_L001	VEG-05F-SN012-leaf-tom-blue-rich_S115_L001	VEG-05F-SN01-AdvRoot-tom-red-rich_S116_L001	VEG-05F-SN03-AdvRoot-tom-red-rich_S117_L001	VEG-05F-SN04-AdvRoot-tom-red-rich_S118_L001	VEG-05F-SN05-AdvRoot-tom-red-rich_S119_L001	VEG-05F-SN06-AdvRoot-tom-red-rich_S120_L001	VEG-05F-SN07-AdvRoot-tom-blue-rich_S121_L001	VEG-05F-SN08-AdvRoot-tom-blue-rich_S122_L001	VEG-05F-SN010-AdvRoot-tom-blue-rich_S123_L001	VEG-05F-SN012-AdvRoot-tom-blue-rich_S124_L001	VEG-05-G-SN-01-leaf-tom-red-rich_S125_L001	VEG-05-G-SN-02-leaf-tom-red-rich_S126_L001	VEG-05-G-SN-03-leaf-tom-red-rich_S127_L001	VEG-05-F-tomato-SN-07-wick_S11_L001	VEG-05-G-SN-04-leaf-tom-red-rich_S128_L001	VEG-05-G-SN-05-leaf-tom-red-rich_S129_L001	VEG-05-G-SN-06-leaf-tom-red-rich_S130_L001	VEG-05-G-SN-07-leaf-tom-blue-rich_S131_L001	VEG-05-G-SN-08-leaf-tom-blue-rich_S132_L001	VEG-05-G-SN-09-leaf-tom-blue-rich_S133_L001	VEG-05-G-SN-10-leaf-tom-blue-rich_S134_L001	VEG-05-G-SN-11-leaf-tom-blue-rich_S135_L001	VEG-05-G-SN-12-leaf-tom-blue-rich_S136_L001	VEG-05-G-SN-02-AdvRoots-tom-blue_S137_L001	VEG-05-F-tomato-SN-07-root_S12_L001	VEG-05-G-SN-04-AdvRoots-tom-blue_S138_L001	VEG-05-G-SN-05-AdvRoots-tom-blue_S139_L001	VEG-05-G-SN-07-AdvRoots-tom-blue_S140_L001	VEG-05-G-SN09-AdvRoots-tom-blue-rich_S141_L001	VEG-05-G-SN-10-AdvRoots-tom-blue_S142_L001	VEG-05-F-tomato-SN-07-soil-1_S13_L001	VEG-05-F-tomato-SN-07-soil-2_S14_L001	VEG-05-F-tomato-SN-07-soil-3_S15_L001	VEG-05-F-tomato-SN-10-wick_S16_L001	VEG-05-F-tomato-SN-10-root_S17_L001	VEG-05-F-tomato-SN-01-root_S2_L001	VEG-05-F-tomato-SN-10-soil-1_S18_L001	VEG-05-F-tomato-SN-10-soil-2_S19_L001	VEG-05-F-tomato-SN-10-soil-3_S20_L001	VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001	VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001	VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001	VEG-05-F-tomato-SN-10-GMT83-2-fruit_S24_L001	VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001	VEG-05-F-swab-Locker-1-1_S26_L001	VEG-05-F-swab-Locker-1-2_S27_L001	VEG-05-F-tomato-SN-01-soil-1_S3_L001	VEG-05-F-swab-Locker-1-3_S28_L001	VEG-05-F-swab-Locker-3-1_S29_L001	VEG-05-F-swab-Locker-3-2_S30_L001	VEG-05-F-swab-Locker-3-3_S31_L001	VEG-05-F-water-Locker-1-root-mat_S32_L001	VEG-05-F-water-Locker-3-root-mat_S33_L001	VEG-05-F-water-SN-09_S34_L001	VEG-05-F-water-SN-10_S35_L001	VEG-05-F-swab-SN-01-pillow-exterior_S36_L001	VEG-05-F-swab-SN-03-pillow-exterior_S37_L001	VEG-05-F-tomato-SN-01-soil-2_S4_L001	VEG-05-F-swab-SN-07-pillow-exterior_S38_L001	VEG-05-G-tomato-Blue-Swab-1_S39_L001	VEG-05-G-tomato-Blue-Swab-2_S40_L001	VEG-05-G-tomato-Blue-Swab-3_S41_L001	VEG-05-G-tomato-Blue-Swab-4_S42_L001	VEG-05-G-tomato-Blue-Swab-5_S43_L001	VEG-05-G-tomato-Blue-Swab-6_S44_L001	VEG-05-G-tomato-Blue-Swab-7_S45_L001	VEG-05-G-tomato-Blue-Swab-8_S46_L001	VEG-05-G-tomato-Red-Swab-1_S47_L001	VEG-05-F-tomato-SN-01-soil-3_S5_L001	VEG-05-G-tomato-Red-Swab-2_S48_L001	VEG-05-G-tomato-Red-Swab-3_S49_L001	VEG-05-G-tomato-Red-Swab-4_S50_L001	VEG-05-G-tomato-Red-Swab-5_S51_L001	VEG-05-G-tomato-Red-Swab-6_S52_L001	VEG-05-G-tomato-Red-Swab-7_S53_L001	VEG-05-G-tomato-Red-Swab-8_S54_L001	VEG-05-G-tomato-Hrvst-1-Fruit-1_S55_L001	VEG-05-G-tomato-Hrvst-1-Fruit-2_S56_L001	VEG-05-G-tomato-Hrvst-1-Fruit-3_S57_L001	VEG-05-G-tomato-Hrvst-1-Fruit-4_S58_L001	VEG-05-G-tomato-Hrvst-1-Fruit-5_S59_L001	VEG-05-G-tomato-Hrvst-1-Fruit-7_S60_L001	VEG-05-G-tomato-Hrvst-1-Fruit-8_S61_L001	VEG-05-G-tomato-Hrvst-1-Fruit-9_S62_L001	VEG-05-G-tomato-Hrvst-1-Fruit-10_S63_L001	VEG-05-G-tomato-Hrvst-2-Fruit-1_S64_L001	VEG-05-G-tomato-Hrvst-2-Fruit-2_S65_L001	VEG-05-G-tomato-Hrvst-2-Fruit-3_S66_L001	VEG-05-G-tomato-Hrvst-2-Fruit-4_S67_L001	VEG-05-F-tomato-SN-03-wick_S6_L001	VEG-05-G-tomato-Hrvst-2-Fruit-5_S68_L001	VEG-05-G-tomato-Hrvst-2-Fruit-6_S69_L001	VEG-05-G-tomato-Hrvst-2-Fruit-7_S70_L001	VEG-05-G-tomato-Hrvst-2-Fruit-9_S71_L001	VEG-05-G-tomato-Hrvst-2-Fruit-10_S72_L001	VEG-05-G-tomato-Hrvst-2-Fruit-11_S73_L001	VEG-05-G-tomato-Hrvst-2-Fruit-12_S74_L001	VEG-05-G-tomato-Hrvst-3-Fruit-1_S75_L001	VEG-05-G-tomato-Hrvst-3-Fruit-2_S76_L001	VEG-05-G-tomato-Hrvst-3-Fruit-3_S77_L001	VEG-05-F-tomato-SN-03-root_S7_L001	VEG-05-G-tomato-Hrvst-3-Fruit-4_S78_L001	VEG-05-G-tomato-Hrvst-3-Fruit-5_S79_L001	VEG-05-G-tomato-Hrvst-3-Fruit-7_S80_L001	VEG-05-G-tomato-Hrvst-3-Fruit-8_S81_L001	VEG-05-G-tomato-Hrvst-3-Fruit-10_S82_L001	VEG-05-G-tomato-Hrvst-3-Fruit-11_S83_L001	VEG-05-G-tomato-Hrvst-3-Fruit-12_S84_L001	VEG-05-G-tomato-SN-01-wick_S85_L001	VEG-05-G-tomato-SN-01-root_S86_L001	VEG-05-G-tomato-SN-01-soil-1_S87_L001	VEG-05-F-tomato-SN-03-soil-1_S8_L001	VEG-05-G-tomato-SN-01-soil-2_S88_L001	VEG-05-G-tomato-SN-01-soil-3_S89_L001	VEG-05-G-tomato-SN-03-wick_S90_L001	VEG-05-G-tomato-SN-03-root_S91_L001	VEG-05-G-tomato-SN-03-soil-1_S92_L001	VEG-05-G-tomato-SN-03-soil-2_S93_L001	VEG-05-G-tomato-SN-03-soil-3_S94_L001	VEG-05-G-tomato-SN-07-wick_S95_L001	VEG-05-G-tomato-SN-07-root_S96_L001	VEG-05-G-tomato-SN-07-soil-1_S97_L001
dark_oxidation_of_sulfur_compounds	0	0	0	0	82	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	7	6	3	27	0	0
fermentation	1198	196	7	24	1	8	1	20	3	1	0	3	76	159	12	2373	10	78	10	7	6	212	4271	2859	1892	7	1	22	1660	870	0	3	4	115	2	0	0	0	2	0	0	6	0	0	6	0	0	0	1	0	1	12	18	106	12	12	18	7	44	0	0	0	0	2	192	17	36	48	17	0	59	0	0	0	6	33	61	19	12	15	15	92	9	2	0	19	0	0	22	0	0	88	123	6	32	0	0	0	0	0	0	0	0	0	2	0	4	1	0	436	0	2	2	0	0	0	0	1	1	0	35	0	0	0	0	2	0	0	0	0	2	20	1	0	0	0	17	23	3	0	0	2
human_pathogens_all	305	1372	9	6	9	14	0	1	7	62	172	0	1014	0	3	0	0	1	0	3	3	41	84	143	22	0	2	0	23	141	0	0	1	555	3	1	1	0	0	0	0	0	0	0	595	2	0	1	0	3	1157	1236	893	294	728	287	1692	2279	1630	4	2	0	1	4	663	3	457	129	3	495	1078	7	0	1288	181	34	31	1428	307	3	13	0	6	0	1	2	0	0	1320	0	0	5	0	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	4	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	57	12	31	1106	65	44	0	6	27	28	33	57	57	4
human_pathogens_nosocomia	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	6	0	15	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
human_pathogens_pneumonia	4	858	0	0	7	6	0	0	0	60	171	0	539	0	0	0	0	0	0	0	0	0	19	10	0	0	1	0	0	3	0	0	0	7	2	0	0	0	0	0	0	0	0	0	363	1	0	0	0	0	783	693	542	16	369	121	1098	1217	826	0	2	0	0	0	18	0	215	0	0	212	111	1	0	0	0	0	0	1024	1	0	8	0	0	0	0	0	0	0	935	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	53	3	6	503	13	8	0	4	17	10	26	30	14	0
intracellular_parasites	0	0	0	0	8	44	1	0	0	58	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	119	0	0	0	72	0	0	1	0	0	0	0	0	0	0	29	0	0	263	0	0	29	13	11	44	6	0	7	11	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	125	4	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	212	186	0	168	193	487	146	96	175	167	380	81	0
manganese_oxidation	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	4	11	15	0	87	80	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
methanol_oxidation	9481	393	4	4	2561	37	3	1	6	1329	988	5	276	7	1	13	2	2	13	15	31	2313	856	815	658	350	468	611	572	524	2	0	1	3879	1	0	1	0	0	1	0	1	0	0	249	105	0	654	0	21	226	792	756	1827	218	512	691	1078	839	7	0	2	3	5	8477	14	683	312	96	738	9290	257	1	354	582	2570	1334	1053	5660	1	1263	11	9	0	7	0	0	0	1115	0	0	155	4	0	5	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2246	0	0	0	0	0	0	0	0	0	0	206	0	1	0	0	0	6	1	9399	173	338	388	745	507	10290	363	484	607	911	1724	90	4
methanotrophy	9405	392	4	4	2596	38	3	1	6	1330	994	5	276	7	1	13	2	2	13	15	31	2112	856	808	656	350	468	611	565	519	2	0	1	3879	1	0	1	0	0	1	0	1	0	0	249	105	0	654	0	21	226	793	756	1825	218	506	691	1078	839	7	0	2	3	5	8477	14	670	310	96	738	9290	257	1	354	582	2568	1334	1044	5660	1	1263	11	14	1	8	0	0	0	1097	0	0	155	8	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2246	0	0	0	0	0	0	0	0	0	0	205	0	1	0	0	0	6	1	9401	177	351	387	756	514	10311	384	489	621	931	1731	91	4
nitrate_denitrification	76	44	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	201	0	7	2	0	0	0	7	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7	35	43	2	11	20	42	21	42	0	0	0	0	0	0	0	20	2	0	2	0	0	0	0	4	2	0	29	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0
nitrate_reduction	13	9	2	3	7	4	0	8	1	44	94	0	9	0	0	0	2	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	24	0	0	1	0	0	0	0	0	1	4	30	0	0	0	0	0	0	0	6	5	1	100	0	3	24	5	6	2	0	14	0	0	46	0	0	28	16	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	15	0	0	0	0	0	1	0	1364	147	187	4	246	231	29	65	142	112	175	35	32	0
nitrate_respiration	4	858	0	0	7	6	0	0	0	59	171	0	539	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	1	0	0	0	4	2	0	0	0	0	0	0	0	0	0	363	1	0	0	0	0	783	693	541	5	363	121	1083	1210	825	0	2	0	0	0	18	0	215	0	0	212	111	1	0	0	0	0	0	1024	1	0	8	0	0	0	0	0	0	0	935	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	53	3	6	503	9	8	0	4	17	10	26	30	14	0
nitrogen_fixation	1758	3213	90	12	5823	2482	10	175	16	1174	750	2	2943	4	0	14	0	2	4	17	11	3213	1486	908	435	3	2	162	565	819	0	0	1	746	3	0	1	1	1	0	0	1	1	4	1938	1336	5	2714	0	1100	2010	3078	2937	1111	2080	2382	2622	3787	3271	2	3	5	3	5	4833	4	2273	1367	263	9464	3682	266	4	696	974	2372	321	2791	1735	3	1098	12	34	3	11	2	2	0	3010	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	0	2	0	0	0	0	0	0	0	0	2145	0	0	0	0	0	13	6	4595	3586	5739	4003	9300	7917	4018	3553	6156	7828	8196	2342	1916	10
photoheterotrophy	0	43	2	0	600	99	0	5	4	7	36	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	23	0	20	7	35	43	0	11	14	42	21	42	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	4	0	0	20	0	0	2275	0	0	0	4	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	8	66	171	33	273	248	3	113	123	170	283	133	115	2
predatory_or_exoparasitic	0	0	2	0	7	4	0	0	0	44	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	4	0	0	14	27	95	3	62	0	139	139	85	0	0	0	0	0	0	0	0	2	1	1570	1	0	0	1	0	0	0	0	54	0	24	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1364	138	147	0	216	211	29	64	137	105	172	35	32	0
ureolysis	1266	618	0	0	1988	219	1	9	1	189	45	2	561	3	0	14	0	1	4	17	11	3178	1353	802	416	3	1	161	557	790	0	0	1	410	0	0	1	0	0	0	0	0	0	0	618	0	2	224	0	59	553	821	943	913	785	562	772	1628	1066	1	0	5	0	4	1427	3	525	91	260	5606	3310	73	3	0	0	2191	72	789	1625	0	325	5	0	0	4	0	1	0	613	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	2	0	0	0	0	0	0	0	0	531	0	0	0	0	0	1	1	53	145	197	522	336	187	113	123	329	368	672	276	153	1
