view	factor	feature	weight
transcriptome	Factor5	Solyc09g064500.3	1.08358085155487
transcriptome	Factor5	Solyc12g009200.2	0.992878377437592
transcriptome	Factor5	Solyc06g073260.3	0.956566572189331
transcriptome	Factor5	Solyc07g065900.3	0.948227405548096
transcriptome	Factor5	Solyc11g009020.2	0.942236423492432
transcriptome	Factor5	Solyc08g007040.3	0.941264629364014
transcriptome	Factor5	Solyc07g005370.4	0.941071450710297
transcriptome	Factor5	Solyc12g094640.3	0.934544146060944
transcriptome	Factor5	Solyc10g054870.3	0.90962415933609
transcriptome	Factor5	Solyc02g085950.4	0.907808125019073
transcriptome	Factor4	Solyc10g081980.2	0.888735592365265
transcriptome	Factor4	Solyc08g078190.2	0.877314150333405
transcriptome	Factor4	Solyc10g055800.2	0.869788348674774
transcriptome	Factor4	Solyc09g091670.3	0.868102133274078
transcriptome	Factor4	Solyc09g092330.3	-0.858289122581482
transcriptome	Factor3	Solyc10g084150.2	0.849842369556427
transcriptome	Factor4	Solyc12g005940.2	0.849424302577972
transcriptome	Factor4	Solyc01g106620.2	0.847717642784119
transcriptome	Factor5	Solyc12g096570.1	-0.840648591518402
transcriptome	Factor4	Solyc11g012360.2	0.834949612617493
transcriptome	Factor4	Solyc02g087070.4	0.824385106563568
transcriptome	Factor3	Solyc08g078950.3	0.816871106624603
transcriptome	Factor2	Solyc03g007790.3	0.810309052467346
transcriptome	Factor4	Solyc01g087580.3	0.803371489048004
transcriptome	Factor2	Solyc12g013620.2	0.800989151000977
transcriptome	Factor4	Solyc04g071650.4	-0.796659648418427
transcriptome	Factor3	Solyc08g077210.4	-0.796303153038025
transcriptome	Factor2	Solyc01g007950.4	0.795771300792694
transcriptome	Factor3	Solyc01g009430.3	0.794735968112946
transcriptome	Factor4	Solyc01g005870.3	-0.791975378990173
transcriptome	Factor4	Solyc06g072430.3	-0.786552846431732
transcriptome	Factor5	Solyc02g077590.1	-0.786082804203033
transcriptome	Factor4	Solyc05g012660.3	0.785252571105957
transcriptome	Factor4	Solyc06g074420.1	-0.781481266021729
transcriptome	Factor4	Solyc10g080690.2	-0.772897243499756
transcriptome	Factor3	Solyc05g009550.3	-0.769465804100037
transcriptome	Factor4	Solyc05g056120.3	-0.766389191150665
transcriptome	Factor3	Solyc10g080360.1	-0.759910643100739
transcriptome	Factor2	Solyc07g064600.3	0.751120865345001
transcriptome	Factor5	Solyc06g053710.3	-0.751053154468536
transcriptome	Factor5	Solyc05g009340.1	-0.748936533927917
transcriptome	Factor2	Solyc09g065560.3	0.740483343601227
transcriptome	Factor5	Solyc12g036470.2	-0.739162743091583
transcriptome	Factor3	Solyc02g069910.2	-0.738457679748535
transcriptome	Factor5	Solyc02g067580.3	-0.73759651184082
transcriptome	Factor3	Solyc07g008570.3	0.731679916381836
transcriptome	Factor3	Solyc09g008060.4	0.731675505638123
transcriptome	Factor2	Solyc01g099140.4	0.730864584445953
transcriptome	Factor4	Solyc04g082140.3	-0.729979813098907
transcriptome	Factor3	Solyc11g006470.2	0.723766267299652
transcriptome	Factor5	Solyc07g008250.3	-0.723766267299652
transcriptome	Factor3	Solyc02g078450.3	-0.720448613166809
transcriptome	Factor2	Solyc04g080530.3	0.719724953174591
transcriptome	Factor3	Solyc10g008520.3	0.718891859054565
transcriptome	Factor3	Solyc02g089160.3	0.71879643201828
transcriptome	Factor2	Solyc03g096670.3	0.717766463756561
transcriptome	Factor2	Solyc10g009270.3	0.716027796268463
transcriptome	Factor2	Solyc09g064820.1	0.714475750923157
transcriptome	Factor3	Solyc01g079150.4	0.710338771343231
transcriptome	Factor3	Solyc06g076400.3	-0.709697186946869
transcriptome	Factor4	Solyc02g083120.3	-0.706718981266022
transcriptome	Factor3	Solyc03g097380.4	-0.704500138759613
transcriptome	Factor3	Solyc06g072640.1	-0.704375922679901
transcriptome	Factor3	Solyc03g095650.3	-0.701838374137878
transcriptome	Factor5	Solyc02g067800.4	-0.69860452413559
transcriptome	Factor3	Solyc09g092430.3	-0.697535455226898
transcriptome	Factor3	Solyc03g114230.2	0.69491845369339
transcriptome	Factor4	Solyc04g007630.2	-0.679031431674957
transcriptome	Factor5	Solyc08g023510.3	-0.668166756629944
transcriptome	Factor5	Solyc11g008830.2	-0.666452884674072
transcriptome	Factor2	Solyc10g006700.1	-0.594532072544098
transcriptome	Factor1	Solyc05g007880.4	0.591419100761414
transcriptome	Factor1	Solyc04g007800.4	0.590053379535675
transcriptome	Factor1	Solyc03g119080.4	-0.58781498670578
transcriptome	Factor1	Solyc01g066880.3	0.583393454551697
transcriptome	Factor1	Solyc01g087850.2	-0.582137882709503
transcriptome	Factor2	Solyc08g067610.3	-0.581527888774872
transcriptome	Factor1	Solyc06g065040.4	0.580194532871246
transcriptome	Factor1	Solyc08g062220.3	-0.580118954181671
transcriptome	Factor1	Solyc08g082130.3	0.579190194606781
transcriptome	Factor1	Solyc10g083340.3	0.578405201435089
transcriptome	Factor1	Solyc08g077300.3	0.577717840671539
transcriptome	Factor1	Solyc07g045180.4	0.57699728012085
transcriptome	Factor1	Solyc01g009760.3	0.576973676681519
transcriptome	Factor1	Solyc07g045460.3	0.575183570384979
transcriptome	Factor1	Solyc04g054950.3	-0.572797894477844
transcriptome	Factor1	Solyc05g050120.3	-0.571808934211731
transcriptome	Factor1	Solyc11g007030.3	-0.570671856403351
transcriptome	Factor1	Solyc02g068300.3	-0.57014524936676
