gene_id	tissue	contrast	baseMean	log2FoldChange	lfcSE	pvalue	padj	significant
Solyc10g005080.3	Leaf	red_vs_blue	1627.69542898788	-4.74670549775038	0.20676413616784	7.04784911778316e-119	1.398222786477e-114	TRUE
Solyc02g071820.4	Leaf	red_vs_blue	2286.53034098639	3.95722500169216	0.189843492374142	3.78227362777806e-98	3.75182632507444e-94	TRUE
Solyc06g006000.3	Leaf	red_vs_blue	709.096596548751	4.4138338990218	0.228216421549371	1.30296360265192e-84	8.61649830433714e-81	TRUE
Solyc04g071990.3	Leaf	red_vs_blue	740.62471579746	3.516676394067	0.185027508252625	2.71702097344338e-82	1.34757447730358e-78	TRUE
Solyc12g095910.2	Leaf	red_vs_blue	938.603020307659	2.6159887710265	0.149358431568951	1.50110462925992e-69	5.95608294797751e-66	TRUE
Solyc02g067230.3	Leaf	red_vs_blue	180.479640451837	-4.80218180539775	0.298298817470659	5.6313573638603e-62	1.86200831236041e-58	TRUE
Solyc07g064160.3	Leaf	red_vs_blue	3331.43130631065	5.02043789164575	0.306100493394143	1.95558945627208e-61	5.5424198889974e-58	TRUE
Solyc03g031600.3	Leaf	red_vs_blue	935.26782223111	2.69724838735289	0.164586575667251	4.71907498434762e-61	1.17027160768091e-57	TRUE
Solyc02g090390.4	Leaf	red_vs_blue	1203.63603130676	2.63105064726346	0.165236114066456	4.7876174067332e-58	1.05535046369089e-54	TRUE
Solyc01g108910.4	Leaf	red_vs_blue	3871.8754854825	3.96779592443533	0.27063899683257	1.48032301952305e-49	2.93681283843178e-46	TRUE
Solyc06g006080.3	Leaf	red_vs_blue	1504.1102451833	3.66331986149916	0.256995499580728	6.76518775310403e-48	1.22013236212573e-44	TRUE
Solyc02g070800.2	Leaf	red_vs_blue	1781.67081461247	3.50205429959527	0.247220952611394	7.99813884929882e-47	1.32229230526033e-43	TRUE
Solyc02g077880.3	Leaf	red_vs_blue	5058.36541332085	3.87937020305878	0.275068582718962	2.35660943644039e-46	3.59636727765699e-43	TRUE
Solyc04g077780.3	Leaf	red_vs_blue	791.207355834338	2.67466099088703	0.188772448044705	2.68764928136025e-46	3.80859100663614e-43	TRUE
Solyc05g007880.4	Leaf	red_vs_blue	887.386681021896	-3.58490875537472	0.263297575278135	2.1123671570232e-43	2.79381680187888e-40	TRUE
Solyc06g076570.4	Leaf	red_vs_blue	258.914664797169	3.24817903988251	0.244095130729688	1.87602146676842e-41	2.32614936745117e-38	TRUE
Solyc04g049670.4	Leaf	red_vs_blue	1619.91616195758	2.78349536642252	0.209506103410453	2.26556356203276e-41	2.64391267689223e-38	TRUE
Solyc05g007020.4	Leaf	red_vs_blue	938.405470552074	2.3695505622658	0.178328942776585	3.93439286963417e-41	4.3363566744818e-38	TRUE
Solyc01g005300.4	Leaf	red_vs_blue	497.127470649675	3.04851549557801	0.229334048792312	4.71477127434517e-41	4.92296564798599e-38	TRUE
Solyc07g043130.3	Leaf	red_vs_blue	1195.93733655749	-3.25658665830098	0.24870300736385	2.71136981301149e-40	2.68954328601674e-37	TRUE
Solyc09g074230.4	Leaf	red_vs_blue	304.759012795937	2.97533084699145	0.229875192010583	1.03920658716156e-39	9.8175330869991e-37	TRUE
Solyc07g054210.3	Leaf	red_vs_blue	762.654615286258	3.09673866211172	0.238608912445346	1.19774443874613e-39	1.08009326910384e-36	TRUE
Solyc12g056650.2	Leaf	red_vs_blue	1475.84975447728	3.41756791238287	0.262080364743437	1.33376571444826e-39	1.15045991343213e-36	TRUE
Solyc08g082590.3	Leaf	red_vs_blue	204.600082454321	-4.89176905443499	0.383699775847739	3.28206524257085e-39	2.71303718114013e-36	TRUE
Solyc09g011080.3	Leaf	red_vs_blue	285.765401056772	-4.67985968671678	0.362001429370163	1.28664152023913e-38	1.02102724480096e-35	TRUE
Solyc05g010590.4	Leaf	red_vs_blue	264.228310798901	2.35183954818445	0.184391900418715	3.04967758839546e-38	2.3270212952376e-35	TRUE
Solyc03g031860.3	Leaf	red_vs_blue	873.031980897607	-3.67575099837772	0.289701989494015	3.45301396855685e-38	2.53719793045183e-35	TRUE
Solyc10g084370.3	Leaf	red_vs_blue	117.057507930854	-2.81492096151627	0.223913844153936	7.68161317989604e-38	5.4426972812842e-35	TRUE
Solyc03g098320.4	Leaf	red_vs_blue	211.069856058052	-3.74930696473754	0.297619160824475	9.10315813113331e-38	6.22750186770875e-35	TRUE
Solyc09g092110.4	Leaf	red_vs_blue	616.508212498696	7.17686378545229	0.570628361736019	1.84306843854126e-36	1.21882115840734e-33	TRUE
Solyc07g055050.3	Leaf	red_vs_blue	528.102913195411	4.66142334717429	0.380734918450011	2.18075830974016e-35	1.39561497119146e-32	TRUE
Solyc01g111600.3	Leaf	red_vs_blue	833.128228693756	2.12797087662506	0.176370823323971	3.37319190550683e-35	2.09127356916719e-32	TRUE
Solyc01g006020.4	Leaf	red_vs_blue	363.232094152199	3.03581596606052	0.253103873293235	1.14070107764897e-34	6.85768747862965e-32	TRUE
Solyc02g084430.3	Leaf	red_vs_blue	75.941393572058	-3.22699485113748	0.272650439792818	1.37212380855916e-34	8.00634242294267e-32	TRUE
Solyc03g083090.4	Leaf	red_vs_blue	261.22366893985	2.92411090951924	0.242007780132816	1.81860734903683e-34	1.03083860564405e-31	TRUE
Solyc03g005760.1	Leaf	red_vs_blue	5920.19594579758	5.04145681447638	0.420991925502598	2.00699269730967e-34	1.10602022560907e-31	TRUE
Solyc04g071800.3	Leaf	red_vs_blue	434.108746927387	3.92024216826668	0.327465381422566	3.38124971054347e-34	1.81298954074249e-31	TRUE
Solyc09g009430.3	Leaf	red_vs_blue	615.447569552394	1.64711053710712	0.138858585515103	4.16575857761752e-33	2.17485485319352e-30	TRUE
Solyc10g080970.2	Leaf	red_vs_blue	492.100365509417	1.68754904932106	0.14436311821913	7.39809702476432e-33	3.76335504805896e-30	TRUE
Solyc04g050620.3	Leaf	red_vs_blue	516.796204544522	3.91594763191486	0.336429230906382	1.91115666468718e-32	9.47885926768222e-30	TRUE
Solyc07g063120.4	Leaf	red_vs_blue	301.855057108875	-2.96056907413262	0.253924450522052	2.53720313646905e-32	1.22769690303438e-29	TRUE
Solyc05g011890.1	Leaf	red_vs_blue	141.09781170068	-5.07912258992539	0.434730318111178	4.5700491706644e-32	2.15869536897169e-29	TRUE
Solyc05g053100.3	Leaf	red_vs_blue	362.087805653908	3.7779824776018	0.3292993816907	1.21072154217748e-31	5.5859313198277e-29	TRUE
Solyc02g072260.4	Leaf	red_vs_blue	80.2597287411622	-2.62957359908308	0.232328715504115	2.56412946936575e-31	1.15613101233516e-28	TRUE
Solyc01g096100.2	Leaf	red_vs_blue	535.374534347946	2.82821199758639	0.249584384528028	4.08191624796086e-31	1.79958080985101e-28	TRUE
Solyc12g013710.2	Leaf	red_vs_blue	1619.45082853919	8.02118097790943	0.70703035425632	8.320614980315e-31	3.58853653466238e-28	TRUE
Solyc06g073180.3	Leaf	red_vs_blue	864.360480352212	-2.58031688064432	0.233090093271029	1.63862371021471e-29	6.91673527381907e-27	TRUE
Solyc02g083310.3	Leaf	red_vs_blue	323.14837159532	3.60244426952195	0.327144200568226	2.33454959691332e-29	9.64898530274236e-27	TRUE
Solyc06g073090.3	Leaf	red_vs_blue	772.444914658726	2.91204621170134	0.26567996590409	6.54355511133381e-29	2.64933856844391e-26	TRUE
Solyc06g068970.3	Leaf	red_vs_blue	309.424758081561	-2.17424673292919	0.198801032330258	1.00197991162974e-28	3.91430596342632e-26	TRUE
Solyc09g065840.3	Leaf	red_vs_blue	167.075745177162	3.10657587450627	0.283710096505779	1.00624831964687e-28	3.91430596342632e-26	TRUE
Solyc02g079770.3	Leaf	red_vs_blue	755.329206517556	1.70725255180681	0.15632544104126	1.63167528568716e-28	6.22515499860532e-26	TRUE
Solyc10g079620.2	Leaf	red_vs_blue	341.372028432497	-3.70368661969046	0.341995668623482	2.3063546077366e-28	8.63316397412953e-26	TRUE
Solyc10g079420.1	Leaf	red_vs_blue	1253.07737255848	1.39755418324771	0.128864856451641	3.37817851995078e-28	1.24110525291303e-25	TRUE
Solyc08g007240.4	Leaf	red_vs_blue	356.34442754526	5.81427236537375	0.530274554887573	4.31678831746418e-28	1.55710478963949e-25	TRUE
Solyc03g112010.4	Leaf	red_vs_blue	57.4961509173425	-3.74453619531937	0.346967745879517	6.88941718367217e-28	2.44069906262272e-25	TRUE
Solyc03g093240.4	Leaf	red_vs_blue	242.681921067246	1.91078899756406	0.179283686957122	7.10416112435109e-28	2.47262197449125e-25	TRUE
Solyc07g056240.3	Leaf	red_vs_blue	325.846682347274	-2.23615500257391	0.209803722609148	1.52534998371198e-27	5.21748591842447e-25	TRUE
Solyc10g078920.3	Leaf	red_vs_blue	154.798147373618	3.5680175366232	0.336473266575017	1.65588865061043e-27	5.5679957524509e-25	TRUE
Solyc06g054250.4	Leaf	red_vs_blue	202.286176370081	2.63477183693411	0.251349172219184	2.20570274086552e-27	7.29315611267184e-25	TRUE
Solyc07g065200.3	Leaf	red_vs_blue	417.980224526839	1.68962786995692	0.158132939961793	2.24439549130777e-27	7.29943641836964e-25	TRUE
Solyc04g080460.3	Leaf	red_vs_blue	280.141053425164	1.91231033645487	0.178636275493992	2.54544435618185e-27	8.08323192717754e-25	TRUE
Solyc07g064410.1	Leaf	red_vs_blue	49.5239481227244	-6.95278639360952	0.665634099306412	2.56688145275561e-27	8.08323192717754e-25	TRUE
Solyc03g112630.3	Leaf	red_vs_blue	254.019015443758	-1.72315633603771	0.162208160836944	3.37918319822955e-27	1.04749399171369e-24	TRUE
Solyc02g030170.4	Leaf	red_vs_blue	1996.79710454019	1.97185541355044	0.187100667412061	4.00771993106171e-27	1.22321778018974e-24	TRUE
Solyc03g006640.3	Leaf	red_vs_blue	220.822313248647	-2.712709869107	0.259759352446795	4.86610306859412e-27	1.46270634511877e-24	TRUE
Solyc10g078590.2	Leaf	red_vs_blue	2657.59877023044	2.42606379121251	0.232221641318175	1.09135105585152e-26	3.23153934284155e-24	TRUE
Solyc05g012230.4	Leaf	red_vs_blue	119.650312146108	-2.8077195529771	0.270759833784667	1.48254436465669e-26	4.32532318388591e-24	TRUE
Solyc07g041720.1	Leaf	red_vs_blue	1376.15495971523	7.05106251448548	0.685221169554226	2.51168187665921e-26	7.22163141319452e-24	TRUE
Solyc11g069720.2	Leaf	red_vs_blue	936.363014634629	1.01028852350638	0.0968211795823087	5.20473637489975e-26	1.47509664202337e-23	TRUE
Solyc01g087800.2	Leaf	red_vs_blue	669.92370166804	4.86573148079547	0.469970860711424	7.8855767604882e-26	2.20340785001867e-23	TRUE
Solyc01g100000.3	Leaf	red_vs_blue	278.694170436111	2.13643178482108	0.206845316571194	1.17517367628952e-25	3.23809313387608e-23	TRUE
Solyc10g049600.3	Leaf	red_vs_blue	196.956053615497	2.90054851833795	0.284650048625711	1.24878118405727e-25	3.39377670007016e-23	TRUE
Solyc07g006040.3	Leaf	red_vs_blue	43.8821685459787	-4.15039826540926	0.406380112975739	2.33166681644644e-25	6.25107269884876e-23	TRUE
Solyc02g078450.3	Leaf	red_vs_blue	86.0528496089925	4.23157460353296	0.4167980246715	5.30586802349669e-25	1.40350820957534e-22	TRUE
Solyc06g073320.3	Leaf	red_vs_blue	5316.74265948018	-1.91967785356695	0.190887725122729	5.73407640767477e-25	1.49682028752447e-22	TRUE
Solyc05g049990.4	Leaf	red_vs_blue	117.09074812312	-2.40564945056998	0.239712427773964	5.93722108941793e-25	1.52972115835016e-22	TRUE
Solyc02g014860.3	Leaf	red_vs_blue	623.994957390702	2.57261930612605	0.257809534336188	6.24887804944954e-25	1.58937809773115e-22	TRUE
Solyc07g055720.4	Leaf	red_vs_blue	385.281859507662	3.81914696394416	0.381908510257623	6.41840161093157e-25	1.61183126024394e-22	TRUE
Solyc01g150166.1	Leaf	red_vs_blue	159.899810828635	2.78005651129689	0.275312300528383	6.95619110860893e-25	1.70375154819374e-22	TRUE
Solyc10g005030.4	Leaf	red_vs_blue	151.840106313431	3.31895000982627	0.321452676203856	6.9406857844759e-25	1.70375154819374e-22	TRUE
Solyc05g049970.3	Leaf	red_vs_blue	254.269963695497	-1.6458660583137	0.163828987016148	9.02976138331101e-25	2.18465165955497e-22	TRUE
Solyc04g054740.3	Leaf	red_vs_blue	1108.01169538589	-3.04225906257371	0.305800194318779	1.72484733442622e-24	4.12280075514238e-22	TRUE
Solyc12g089220.3	Leaf	red_vs_blue	347.364202236498	3.0703337751775	0.312675112773048	3.29933192617154e-24	7.79231500991872e-22	TRUE
Solyc12g014530.3	Leaf	red_vs_blue	387.17991674859	-2.17034461348255	0.219877328497835	4.62511271568623e-24	1.07950130784117e-21	TRUE
Solyc08g013900.3	Leaf	red_vs_blue	195.217866765012	2.91787362006315	0.295971865988415	5.14020351182714e-24	1.18577322640859e-21	TRUE
Solyc07g024000.3	Leaf	red_vs_blue	1184.46048618487	1.72829852000973	0.175384056591254	5.48794249821156e-24	1.25144012898873e-21	TRUE
Solyc11g068710.3	Leaf	red_vs_blue	675.834054401448	2.59272603103162	0.263527467445988	6.50490117878414e-24	1.45566438747804e-21	TRUE
Solyc12g014350.3	Leaf	red_vs_blue	557.014725146051	2.09594219766156	0.213026405762626	6.53027523995895e-24	1.45566438747804e-21	TRUE
Solyc01g095030.3	Leaf	red_vs_blue	461.709510571137	-1.89846046528924	0.194191779531482	8.31776670761502e-24	1.8335130412486e-21	TRUE
Solyc03g117660.4	Leaf	red_vs_blue	102.300596962091	-1.97140036207283	0.203819582008357	1.99747955194082e-23	4.35472492647845e-21	TRUE
Solyc11g007830.2	Leaf	red_vs_blue	507.717077134162	1.52849984999603	0.157195467643395	2.09471106261709e-23	4.5170622577457e-21	TRUE
Solyc04g005100.3	Leaf	red_vs_blue	727.190525416508	-2.89742398213307	0.301325653035968	3.65497611835399e-23	7.79688937763708e-21	TRUE
Solyc03g116670.3	Leaf	red_vs_blue	3405.32827943854	2.33501619654316	0.242007018432218	4.82495709470156e-23	1.018322593636e-20	TRUE
Solyc02g038803.1	Leaf	red_vs_blue	1814.19917577275	0.787669977393339	0.0808908309581342	6.2283705689813e-23	1.30068046018968e-20	FALSE
Solyc07g008440.3	Leaf	red_vs_blue	180.601073389615	3.42558864735028	0.358214422131234	8.87345198481655e-23	1.83375431173724e-20	TRUE
Solyc04g018110.1	Leaf	red_vs_blue	1497.36342518732	1.24069329333138	0.12897568729194	1.32974748562349e-22	2.71967632652417e-20	TRUE
Solyc06g053980.3	Leaf	red_vs_blue	329.773374500748	1.88847660793316	0.196764251418182	1.36567193496245e-22	2.7646495426245e-20	TRUE
Solyc02g076690.3	Leaf	red_vs_blue	508.079470833187	3.12861565551547	0.329567329497262	1.94744775670053e-22	3.90256727729109e-20	TRUE
Solyc01g109380.3	Leaf	red_vs_blue	167.799336755947	2.74829481926374	0.289842574702593	2.14502945615361e-22	4.25552393806315e-20	TRUE
Solyc03g005770.3	Leaf	red_vs_blue	1834.06477908299	5.54573659665102	0.588006913635183	2.29003846073631e-22	4.49822505173739e-20	TRUE
Solyc09g082690.3	Leaf	red_vs_blue	747.117082313808	-3.41314355526125	0.364972052566444	3.35646542927096e-22	6.52832525993201e-20	TRUE
Solyc08g082130.3	Leaf	red_vs_blue	93.8309012590228	-2.61732298389135	0.282994194616319	6.17478762899173e-22	1.18933603661715e-19	TRUE
Solyc05g056060.4	Leaf	red_vs_blue	3090.87434520413	3.30888670723526	0.354616408720252	6.56227995284754e-22	1.25181799985137e-19	TRUE
Solyc03g043640.3	Leaf	red_vs_blue	122.419082402824	-2.70816096365553	0.290658054130329	7.06445146905761e-22	1.3347776447108e-19	TRUE
Solyc05g013560.3	Leaf	red_vs_blue	77.3816191052691	3.39707144205175	0.364784698874256	9.31096638583223e-22	1.74264398234458e-19	TRUE
Solyc04g008730.3	Leaf	red_vs_blue	212.688944356107	3.10166472929116	0.338663490444064	1.54245411587265e-21	2.85988291633622e-19	TRUE
Solyc11g011990.2	Leaf	red_vs_blue	271.178734876272	1.68177517104272	0.181181435182539	1.99893999385471e-21	3.67194171648922e-19	TRUE
Solyc07g056190.3	Leaf	red_vs_blue	540.465170092175	2.96061416131122	0.320716348291649	2.05546875198107e-21	3.74114170372042e-19	TRUE
Solyc06g064610.1	Leaf	red_vs_blue	19.6104573343555	-3.56840355772721	0.394222633021392	2.14971256212374e-21	3.87710431999753e-19	TRUE
Solyc02g083280.4	Leaf	red_vs_blue	1184.82855300585	1.95352319756623	0.211610144565645	2.38640399901428e-21	4.26521341769769e-19	TRUE
Solyc04g071140.3	Leaf	red_vs_blue	644.395040078607	3.00972694779504	0.325967030722905	2.64527455359173e-21	4.68567873827735e-19	TRUE
Solyc06g008030.3	Leaf	red_vs_blue	175.383932656768	3.06311350922773	0.334086676743917	3.84859974429752e-21	6.75421442918841e-19	TRUE
Solyc09g055180.4	Leaf	red_vs_blue	298.208895839113	1.66093032820713	0.181163503233583	3.88114544547346e-21	6.75421442918841e-19	TRUE
Solyc12g042950.2	Leaf	red_vs_blue	965.027127385316	1.99597232085972	0.216913101267735	4.90943600000045e-21	8.46941746121816e-19	TRUE
Solyc11g072100.2	Leaf	red_vs_blue	88.1118158466489	2.88357614446394	0.314984018411073	5.39227299989437e-21	9.22218138318142e-19	TRUE
