amplicon	compartment	term	df	sum_sq	r2	f_stat	p_value	n_samples
16S	leaf	Model	3	1.27554658411069	0.415196854123548	4.02320368820969	0.001	21
16S	leaf	Residual	17	1.79660237714115	0.584803145876452	NA	NA	21
16S	leaf	Total	20	3.07214896125184	1	NA	NA	21
16S	AdvRoot	Model	2	1.53316825839156	0.327795794181543	2.92585905899617	0.001	15
16S	AdvRoot	Residual	12	3.14403714084075	0.672204205818457	NA	NA	15
16S	AdvRoot	Total	14	4.67720539923231	1	NA	NA	15
16S	root	Model	1	1.04573253980814	0.568785627601185	10.5522573273626	0.007	10
16S	root	Residual	8	0.792802910214474	0.431214372398816	NA	NA	10
16S	root	Total	9	1.83853545002261	1	NA	NA	10
16S	wick	Model	1	0.934912196308347	0.536953802477541	6.95767038386916	0.034	8
16S	wick	Residual	6	0.806228646711294	0.463046197522459	NA	NA	8
16S	wick	Total	7	1.74114084301964	1	NA	NA	8
16S	soil	Model	1	2.38324167454536	0.556351858166437	27.5888473894553	0.001	24
16S	soil	Residual	22	1.90045332810959	0.443648141833564	NA	NA	24
16S	soil	Total	23	4.28369500265495	1	NA	NA	24
