asv_id	compartment	contrast	welch_p	wilcox_p	effect_size	diff_btw	diff_win	overlap	significant	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV003	AdvRoot	flight_Flight_vs_Ground	0.202698290533787	0.0712944426847711	-1.34699325485094	-6.45838906217104	4.39031593292357	0.0729175592348962	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA
ASV004	AdvRoot	flight_Flight_vs_Ground	0.0393144704040525	0.0249308092992442	-1.57815740957898	-7.85345750462034	5.35430660002898	0.0130261788667001	TRUE	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA
ASV005	AdvRoot	flight_Flight_vs_Ground	0.794245908931729	0.767602007574209	-0.410186148406228	-1.81296900119284	4.05241558054308	0.299479301707933	FALSE	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Vibrionimonas	NA
ASV006	AdvRoot	flight_Flight_vs_Ground	0.998048494906421	0.998213948507938	-0.090725462360966	-0.369322578757044	4.13816005529527	0.459740282522272	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
ASV007	AdvRoot	flight_Flight_vs_Ground	0.983479385844753	0.984135618130041	-0.236832319880619	-1.40965046451184	5.08532180138287	0.401041724871819	FALSE	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	NA
ASV008	AdvRoot	flight_Flight_vs_Ground	0.380693059775342	0.27186456266304	-0.984302112825143	-5.28455466986993	4.32988376319232	0.161458686612955	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	NA
ASV009	AdvRoot	flight_Flight_vs_Ground	0.148907937305546	0.0542138909572132	1.41696804061473	10.0929892659563	6.75297673047643	0.05194933050976	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA
ASV010	AdvRoot	flight_Flight_vs_Ground	0.801849781841972	0.780783792839948	-0.584672874816522	-2.6652358429508	4.32555563642798	0.2597404353679	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	NA
ASV011	AdvRoot	flight_Flight_vs_Ground	0.977020780847587	0.989795317026007	0.0777523844290678	0.517592303975543	5.66438954567746	0.470129886983215	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	facile
ASV012	AdvRoot	flight_Flight_vs_Ground	0.0849140550122879	0.0218778617216117	-1.66474965325246	-5.81081642541747	3.55196344455557	0.0207825290450247	FALSE	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter	NA
ASV013	AdvRoot	flight_Flight_vs_Ground	0.408698076023228	0.197337864731928	-0.831687079199146	-4.4805298695829	5.38265798475866	0.127604639290146	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	NA
ASV014	AdvRoot	flight_Flight_vs_Ground	0.682007517179291	0.606489792678731	0.494124212507085	2.26166562970618	4.2603134448921	0.27864598892312	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	NA
ASV015	AdvRoot	flight_Flight_vs_Ground	0.600083159722837	0.53144722832897	0.543571957411226	3.42971729430305	6.07995266327073	0.25454563635629	FALSE	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Candidatus Obscuribacter	NA
ASV018	AdvRoot	flight_Flight_vs_Ground	0.997417866260523	0.99255632893896	-0.212815760651443	-1.52103906330334	6.86718267908054	0.419270880177702	FALSE	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Edaphobacter	NA
ASV019	AdvRoot	flight_Flight_vs_Ground	0.940068338526463	0.936075023305591	0.128779029116856	0.376143079964061	3.30258502491541	0.458333357045458	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	NA
ASV020	AdvRoot	flight_Flight_vs_Ground	0.205998169379579	0.121436882305923	-1.16886820030758	-4.41064858784202	3.77221631905374	0.0961045495875719	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	NA
ASV021	AdvRoot	flight_Flight_vs_Ground	0.0166884624255195	0.0155919229579944	-3.25230051256799	-10.2563838303349	3.32434479250447	0.000182733348482992	TRUE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA
ASV022	AdvRoot	flight_Flight_vs_Ground	0.04775946174987	0.0160423653727225	-2.21755208077239	-8.06266781875346	3.6616997451785	0.00263029476749377	TRUE	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	beijingensis
ASV024	AdvRoot	flight_Flight_vs_Ground	0.0567211230043766	0.0506820123765678	-1.54891816417017	-7.40569110699253	4.51881146190432	0.05194933050976	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	NA
ASV029	AdvRoot	flight_Flight_vs_Ground	0.920067709233376	0.892054309209616	0.18147912265021	0.981512157399621	4.59477165774873	0.405194860482653	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	NA
ASV030	AdvRoot	flight_Flight_vs_Ground	0.299853518780085	0.198292073719982	1.00826777023282	6.84131269943824	6.37618940571323	0.129870590223124	FALSE	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	cf.
ASV031	AdvRoot	flight_Flight_vs_Ground	0.533180031885489	0.427620924382085	-0.719501569292558	-3.27323383622096	3.85758969770377	0.184415879320914	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	NA
ASV032	AdvRoot	flight_Flight_vs_Ground	0.509919119667855	0.598531460076925	-0.727193473327182	-4.39722655008954	5.80030880113814	0.233766442674173	FALSE	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Hydrotalea	flava
ASV033	AdvRoot	flight_Flight_vs_Ground	0.288023863220249	0.153974522313497	1.01789824455017	6.01604177653326	6.51115326076832	0.122078417686095	FALSE	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	NA
ASV034	AdvRoot	flight_Flight_vs_Ground	0.995497626618993	0.995000401995511	-0.253100156620548	-1.50765121134016	4.78190608812461	0.401041724871819	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aminobacter	NA
ASV035	AdvRoot	flight_Flight_vs_Ground	0.955541379949455	0.953930882094267	-0.00625184975944054	-0.0328952772749487	4.49757630901919	0.497395834805089	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	NA
ASV036	AdvRoot	flight_Flight_vs_Ground	0.407537880557628	0.300443373421621	0.837115039969152	5.07114959469895	5.57306053943213	0.166667005747378	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aminobacter	NA
ASV037	AdvRoot	flight_Flight_vs_Ground	0.767586375039296	0.698609581100339	-0.52405795940466	-3.04916621103484	5.33923175559858	0.255208515287152	FALSE	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	NA
ASV038	AdvRoot	flight_Flight_vs_Ground	0.937167186946076	0.920495748595941	0.0240338691603983	0.105888180309981	4.15289888477847	0.481770843649058	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	mobile
ASV039	AdvRoot	flight_Flight_vs_Ground	0.323321887630069	0.226517177357158	0.969699351685413	5.94751629462195	6.12833687848384	0.140625420138787	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Tardiphaga	robiniae
ASV041	AdvRoot	flight_Flight_vs_Ground	0.882946794232946	0.848264889734398	0.150808596321355	0.945560562708274	4.80002197286689	0.395833394872951	FALSE	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	NA	NA	NA
ASV046	AdvRoot	flight_Flight_vs_Ground	0.182229088067096	0.0777208969370832	1.4286959270657	6.6697868205406	4.45596270869371	0.0781258275588373	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Hephaestia	NA
ASV047	AdvRoot	flight_Flight_vs_Ground	0.994984190247213	0.995307045217346	-0.0592053374519648	-0.299181184648034	4.31605060809549	0.460937522211308	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
ASV048	AdvRoot	flight_Flight_vs_Ground	0.362005642926507	0.302426118569548	0.905515593084086	4.67500987231907	5.08953810166373	0.179687807021729	FALSE	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14	NA
ASV049	AdvRoot	flight_Flight_vs_Ground	0.467774467957266	0.466157969462714	-0.770387789844393	-3.94365180139128	4.91275929088818	0.197402865843457	FALSE	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	NA
ASV051	AdvRoot	flight_Flight_vs_Ground	0.205911686900769	0.0977655379073531	1.18097394023215	6.99729682064582	5.7050670765536	0.0703134286582997	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV052	AdvRoot	flight_Flight_vs_Ground	0.307710833723681	0.183405736616177	0.914453459436247	5.72147175717829	6.36590740997331	0.124675808053514	FALSE	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	NA
ASV054	AdvRoot	flight_Flight_vs_Ground	0.988130499150637	0.837256578603364	0.345682935675239	1.37616694412439	3.20473813340117	0.322916781096678	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
ASV057	AdvRoot	flight_Flight_vs_Ground	0.0600523077872873	0.0331225356083311	-1.5323574876188	-6.52581933969842	4.33115205855625	0.0234404403365829	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA
ASV060	AdvRoot	flight_Flight_vs_Ground	0.051209465530957	0.0221731679492668	-1.77050757317138	-6.56066411630602	3.6202227889547	0.0156294445919083	FALSE	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA
ASV065	AdvRoot	flight_Flight_vs_Ground	0.925924099247149	0.92762433517026	-0.189638261441096	-1.12668446750285	5.47497346840971	0.406250054912278	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sediminicola
ASV070	AdvRoot	flight_Flight_vs_Ground	0.487868880001654	0.471328665164569	-0.746948875218011	-3.59506768625244	4.86801337489778	0.187013276350434	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA
ASV072	AdvRoot	flight_Flight_vs_Ground	0.37302417122502	0.276467971558031	0.872159406948991	4.45771077759898	4.62838987572854	0.174026292765358	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	NA
ASV073	AdvRoot	flight_Flight_vs_Ground	0.271440477388787	0.196157115825518	1.1050664824644	6.8447440945871	5.88052191175587	0.132467981968861	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
ASV077	AdvRoot	flight_Flight_vs_Ground	0.918313360160325	0.901783756746144	-0.169869547611991	-0.648323166871266	3.86335871852028	0.420779266464565	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	NA
ASV078	AdvRoot	flight_Flight_vs_Ground	0.745153099611733	0.796986749813306	-0.472939830311654	-3.33308250311278	6.02208074599286	0.293506633470424	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	fusca
ASV080	AdvRoot	flight_Flight_vs_Ground	0.280146462537187	0.208608387252869	-1.01056195745012	-5.14851719745602	4.38145889821326	0.119792176111914	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV085	AdvRoot	flight_Flight_vs_Ground	0.775671584579051	0.736616005390294	-0.445018188056146	-2.52490814881817	4.72696148027155	0.298701433764329	FALSE	Bacteria	Firmicutes	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus	NA
ASV086	AdvRoot	flight_Flight_vs_Ground	0.859944113038755	0.837819163552575	0.208933620015044	0.994513993250249	4.00562546671307	0.393229229889995	FALSE	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	NA
ASV087	AdvRoot	flight_Flight_vs_Ground	0.830436110153595	0.853913217725496	-0.383346824335071	-2.02854039488556	4.6811841926191	0.322078036609419	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Nevskia	NA
ASV089	AdvRoot	flight_Flight_vs_Ground	0.808519005838423	0.728097603636507	0.38245161923031	1.60799931020083	3.85500177082699	0.31168843505769	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	NA
ASV091	AdvRoot	flight_Flight_vs_Ground	0.414805231313237	0.560995965394345	-0.760067932601919	-5.56608963546236	6.48210835803828	0.246753438257678	FALSE	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	NA
ASV092	AdvRoot	flight_Flight_vs_Ground	0.852534599035384	0.837693672716162	0.266331626786196	1.68976261209478	5.89274114089345	0.395833394872951	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV099	AdvRoot	flight_Flight_vs_Ground	0.4373878717036	0.350843224894863	0.766656075630091	4.30232507553585	5.03120459225719	0.18961067352319	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	NA
ASV104	AdvRoot	flight_Flight_vs_Ground	0.331404831878615	0.247506019451724	0.925092881580926	5.25194304845115	4.96383207647111	0.161458686612955	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	NA
ASV105	AdvRoot	flight_Flight_vs_Ground	0.111570866535388	0.0440521080125042	-1.36310803590912	-5.67416045904427	3.99156612797961	0.0390642346341238	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV108	AdvRoot	flight_Flight_vs_Ground	0.470183241285555	0.40060924779471	0.687785641617943	3.65784036605293	4.77757106283178	0.210937745369146	FALSE	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA
ASV113	AdvRoot	flight_Flight_vs_Ground	0.909743037540954	0.879990588164784	0.196083760011537	0.838284205252341	3.7035270328987	0.381818252192457	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	taiwanensis
ASV117	AdvRoot	flight_Flight_vs_Ground	0.86254938408651	0.825852763859419	-0.319745210161675	-1.54740060317862	4.35062409714767	0.348052042170242	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
ASV121	AdvRoot	flight_Flight_vs_Ground	0.449050758354361	0.382994354457762	0.689163572805067	3.28137013938422	4.13497113109246	0.197402865843457	FALSE	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	NA
ASV123	AdvRoot	flight_Flight_vs_Ground	0.852562683053834	0.841258744454277	0.267870912135343	1.50866287875557	4.67896434944411	0.366233847235641	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter	NA
