sample_id	Observed	Shannon	Simpson	study	amplicon	flight	plant	compartment	light	treatment	soil_replicate	harvest	fruit_number	swab_location	fastq_r1	fastq_r2	description	read_depth
VEG-05-F-tomato-SN-03-soil-2_S9_L001	117	3.14612656295564	0.931182040782353	OSD-766	16S	Flight	SN03	soil	NA	Flight	2	NA	NA		GLDS-672_Amplicon_16S-10-VEG-05-F-tomato-SN-03-soil-2_S9_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-10-VEG-05-F-tomato-SN-03-soil-2_S9_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-03-soil-2	343
VEG-05-F-tomato-SN-03-soil-3_S10_L001	104	3.12275515660026	0.930499910623679	OSD-766	16S	Flight	SN03	soil	NA	Flight	3	NA	NA		GLDS-672_Amplicon_16S-11-VEG-05-F-tomato-SN-03-soil-3_S10_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-11-VEG-05-F-tomato-SN-03-soil-3_S10_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-03-soil-3	465
VEG-05-F-tomato-SN-03-wick_S6_L001	98	2.30119000125988	0.804604406913729	OSD-766	16S	Flight	SN03	wick	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-7-VEG-05-F-tomato-SN-03-wick_S6_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-7-VEG-05-F-tomato-SN-03-wick_S6_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-03-wick	18274
VEG-05-F-tomato-SN-07-root_S12_L001	101	3.19602093528269	0.934628722209731	OSD-766	16S	Flight	SN07	root	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-14-VEG-05-F-tomato-SN-07-root_S12_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-14-VEG-05-F-tomato-SN-07-root_S12_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-root	24704
VEG-05-F-tomato-SN-07-soil-1_S13_L001	109	3.1230396726935	0.925465945153306	OSD-766	16S	Flight	SN07	soil	NA	Flight	1	NA	NA		GLDS-672_Amplicon_16S-15-VEG-05-F-tomato-SN-07-soil-1_S13_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-15-VEG-05-F-tomato-SN-07-soil-1_S13_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-soil-1	21020
VEG-05-F-tomato-SN-07-soil-2_S14_L001	114	3.26861979651748	0.940176228278494	OSD-766	16S	Flight	SN07	soil	NA	Flight	2	NA	NA		GLDS-672_Amplicon_16S-16-VEG-05-F-tomato-SN-07-soil-2_S14_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-16-VEG-05-F-tomato-SN-07-soil-2_S14_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-soil-2	13530
VEG-05-F-tomato-SN-07-soil-3_S15_L001	122	3.31173256557161	0.939154714639798	OSD-766	16S	Flight	SN07	soil	NA	Flight	3	NA	NA		GLDS-672_Amplicon_16S-17-VEG-05-F-tomato-SN-07-soil-3_S15_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-17-VEG-05-F-tomato-SN-07-soil-3_S15_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-soil-3	2037
VEG-05-F-tomato-SN-07-wick_S11_L001	115	2.91190934386707	0.905784852141587	OSD-766	16S	Flight	SN07	wick	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-13-VEG-05-F-tomato-SN-07-wick_S11_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-13-VEG-05-F-tomato-SN-07-wick_S11_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-wick	7951
VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001	23	2.83551318098559	0.924592182209911	OSD-766	16S	Flight	SN10	fruit	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-23-VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-23-VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-10-GMT66-2-fruit	2541
VEG-05-F-tomato-SN-10-GMT83-2-fruit_S24_L001	12	2.42601513195981	0.90625	OSD-766	16S	Flight	SN10	fruit	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-26-VEG-05-F-tomato-SN-10-GMT83-2-fruit_S24_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-26-VEG-05-F-tomato-SN-10-GMT83-2-fruit_S24_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-10-GMT83-2-fruit	19619
VEG-05-F-tomato-SN-10-root_S17_L001	107	3.15330048016354	0.930560345397585	OSD-766	16S	Flight	SN10	root	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-19-VEG-05-F-tomato-SN-10-root_S17_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-19-VEG-05-F-tomato-SN-10-root_S17_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-10-root	24560
VEG-05-F-tomato-SN-10-soil-1_S18_L001	123	3.11581164249348	0.911895251476696	OSD-766	16S	Flight	SN10	soil	NA	Flight	1	NA	NA		GLDS-672_Amplicon_16S-20-VEG-05-F-tomato-SN-10-soil-1_S18_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-20-VEG-05-F-tomato-SN-10-soil-1_S18_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-10-soil-1	71
VEG-05-F-tomato-SN-10-soil-2_S19_L001	121	3.07198746556037	0.914081480460198	OSD-766	16S	Flight	SN10	soil	NA	Flight	2	NA	NA		GLDS-672_Amplicon_16S-21-VEG-05-F-tomato-SN-10-soil-2_S19_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-21-VEG-05-F-tomato-SN-10-soil-2_S19_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-10-soil-2	88
VEG-05-F-tomato-SN-10-soil-3_S20_L001	129	3.19184541858192	0.928373404574389	OSD-766	16S	Flight	SN10	soil	NA	Flight	3	NA	NA		GLDS-672_Amplicon_16S-22-VEG-05-F-tomato-SN-10-soil-3_S20_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-22-VEG-05-F-tomato-SN-10-soil-3_S20_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-10-soil-3	69
VEG-05-F-tomato-SN-10-wick_S16_L001	135	2.52215670068625	0.837280668408531	OSD-766	16S	Flight	SN10	wick	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-18-VEG-05-F-tomato-SN-10-wick_S16_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-18-VEG-05-F-tomato-SN-10-wick_S16_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-10-wick	33156
VEG-05-F-water-Locker-1-root-mat_S32_L001	29	1.38646315546635	0.64169054138432	OSD-766	16S	Flight	NA	root	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-34-VEG-05-F-water-Locker-1-root-mat_S32_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-34-VEG-05-F-water-Locker-1-root-mat_S32_L001_R2_raw.fastq.gz	VEG-05-F-water-Locker-1-root-mat	110
VEG-05-F-water-Locker-3-root-mat_S33_L001	9	2.09472904752765	0.861111111111111	OSD-766	16S	Flight	NA	root	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-35-VEG-05-F-water-Locker-3-root-mat_S33_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-35-VEG-05-F-water-Locker-3-root-mat_S33_L001_R2_raw.fastq.gz	VEG-05-F-water-Locker-3-root-mat	58
VEG-05-F-water-SN-09_S34_L001	34	1.88641899274826	0.761620881278078	OSD-766	16S	Flight	SN09	water	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-36-VEG-05-F-water-SN-09_S34_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-36-VEG-05-F-water-SN-09_S34_L001_R2_raw.fastq.gz	VEG-05-F-water-SN-09	86
VEG-05-F-water-SN-10_S35_L001	41	2.38845238920622	0.866469354071381	OSD-766	16S	Flight	SN10	water	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-37-VEG-05-F-water-SN-10_S35_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-37-VEG-05-F-water-SN-10_S35_L001_R2_raw.fastq.gz	VEG-05-F-water-SN-10	68
VEG-05-G-SN-01-leaf-tom-red-rich_S125_L001	8	0.652701240998336	0.257488593533029	OSD-766	16S	Ground	SN01	leaf	Red	Ground_Red	NA	NA	NA		GLDS-672_Amplicon_16S-127-VEG-05-G-SN-01-leaf-tom-red-rich_S125_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-127-VEG-05-G-SN-01-leaf-tom-red-rich_S125_L001_R2_raw.fastq.gz	VEG-05-G-SN-01-leaf-tom-red-rich	68
VEG-05-G-SN-02-AdvRoots-tom-blue_S137_L001	11	0.577832412312279	0.199859033596993	OSD-766	16S	Ground	SN02	AdvRoot	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-139-VEG-05-G-SN-02-AdvRoots-tom-blue_S137_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-139-VEG-05-G-SN-02-AdvRoots-tom-blue_S137_L001_R2_raw.fastq.gz	VEG-05-G-SN-02-AdvRoots-tom-blue	89
VEG-05-G-SN-02-leaf-tom-red-rich_S126_L001	12	0.931717113067049	0.34478305785124	OSD-766	16S	Ground	SN02	leaf	Red	Ground_Red	NA	NA	NA		GLDS-672_Amplicon_16S-128-VEG-05-G-SN-02-leaf-tom-red-rich_S126_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-128-VEG-05-G-SN-02-leaf-tom-red-rich_S126_L001_R2_raw.fastq.gz	VEG-05-G-SN-02-leaf-tom-red-rich	51
VEG-05-G-SN-03-leaf-tom-red-rich_S127_L001	16	1.44322910875528	0.526780088216761	OSD-766	16S	Ground	SN03	leaf	Red	Ground_Red	NA	NA	NA		GLDS-672_Amplicon_16S-129-VEG-05-G-SN-03-leaf-tom-red-rich_S127_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-129-VEG-05-G-SN-03-leaf-tom-red-rich_S127_L001_R2_raw.fastq.gz	VEG-05-G-SN-03-leaf-tom-red-rich	81
VEG-05-G-SN-04-AdvRoots-tom-blue_S138_L001	34	1.2502051172294	0.560150870575852	OSD-766	16S	Ground	SN04	AdvRoot	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-140-VEG-05-G-SN-04-AdvRoots-tom-blue_S138_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-140-VEG-05-G-SN-04-AdvRoots-tom-blue_S138_L001_R2_raw.fastq.gz	VEG-05-G-SN-04-AdvRoots-tom-blue	73
VEG-05-G-SN-04-leaf-tom-red-rich_S128_L001	33	2.83033755965231	0.891735537190083	OSD-766	16S	Ground	SN04	leaf	Red	Ground_Red	NA	NA	NA		GLDS-672_Amplicon_16S-130-VEG-05-G-SN-04-leaf-tom-red-rich_S128_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-130-VEG-05-G-SN-04-leaf-tom-red-rich_S128_L001_R2_raw.fastq.gz	VEG-05-G-SN-04-leaf-tom-red-rich	113
VEG-05-G-SN-05-AdvRoots-tom-blue_S139_L001	10	0.83987853585574	0.317785467128028	OSD-766	16S	Ground	SN05	AdvRoot	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-141-VEG-05-G-SN-05-AdvRoots-tom-blue_S139_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-141-VEG-05-G-SN-05-AdvRoots-tom-blue_S139_L001_R2_raw.fastq.gz	VEG-05-G-SN-05-AdvRoots-tom-blue	20608
VEG-05-G-SN-05-leaf-tom-red-rich_S129_L001	7	0.788064534841994	0.334720570749108	OSD-766	16S	Ground	SN05	leaf	Red	Ground_Red	NA	NA	NA		GLDS-672_Amplicon_16S-131-VEG-05-G-SN-05-leaf-tom-red-rich_S129_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-131-VEG-05-G-SN-05-leaf-tom-red-rich_S129_L001_R2_raw.fastq.gz	VEG-05-G-SN-05-leaf-tom-red-rich	2114
VEG-05-G-SN-06-leaf-tom-red-rich_S130_L001	15	1.00277194690077	0.35289345592212	OSD-766	16S	Ground	SN06	leaf	Red	Ground_Red	NA	NA	NA		GLDS-672_Amplicon_16S-132-VEG-05-G-SN-06-leaf-tom-red-rich_S130_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-132-VEG-05-G-SN-06-leaf-tom-red-rich_S130_L001_R2_raw.fastq.gz	VEG-05-G-SN-06-leaf-tom-red-rich	85
VEG-05-G-SN-07-AdvRoots-tom-blue_S140_L001	85	2.93647183667391	0.912679003561589	OSD-766	16S	Ground	SN07	AdvRoot	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-142-VEG-05-G-SN-07-AdvRoots-tom-blue_S140_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-142-VEG-05-G-SN-07-AdvRoots-tom-blue_S140_L001_R2_raw.fastq.gz	VEG-05-G-SN-07-AdvRoots-tom-blue	13853
VEG-05-G-SN-07-leaf-tom-blue-rich_S131_L001	5	0.360628556296894	0.140138408304498	OSD-766	16S	Ground	SN07	leaf	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-133-VEG-05-G-SN-07-leaf-tom-blue-rich_S131_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-133-VEG-05-G-SN-07-leaf-tom-blue-rich_S131_L001_R2_raw.fastq.gz	VEG-05-G-SN-07-leaf-tom-blue-rich	5
VEG-05-G-SN-08-leaf-tom-blue-rich_S132_L001	7	0.456532236458523	0.167387543252595	OSD-766	16S	Ground	SN08	leaf	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-134-VEG-05-G-SN-08-leaf-tom-blue-rich_S132_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-134-VEG-05-G-SN-08-leaf-tom-blue-rich_S132_L001_R2_raw.fastq.gz	VEG-05-G-SN-08-leaf-tom-blue-rich	3718
VEG-05-G-SN-09-leaf-tom-blue-rich_S133_L001	13	1.07552455119355	0.394142153768464	OSD-766	16S	Ground	SN09	leaf	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-135-VEG-05-G-SN-09-leaf-tom-blue-rich_S133_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-135-VEG-05-G-SN-09-leaf-tom-blue-rich_S133_L001_R2_raw.fastq.gz	VEG-05-G-SN-09-leaf-tom-blue-rich	26260
VEG-05-G-SN-10-AdvRoots-tom-blue_S142_L001	53	2.60325384862207	0.875933951429462	OSD-766	16S	Ground	SN10	AdvRoot	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-144-VEG-05-G-SN-10-AdvRoots-tom-blue_S142_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-144-VEG-05-G-SN-10-AdvRoots-tom-blue_S142_L001_R2_raw.fastq.gz	VEG-05-G-SN-10-AdvRoots-tom-blue	32405
VEG-05-G-SN-10-leaf-tom-blue-rich_S134_L001	9	0.826562528233711	0.31757016532103	OSD-766	16S	Ground	SN10	leaf	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-136-VEG-05-G-SN-10-leaf-tom-blue-rich_S134_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-136-VEG-05-G-SN-10-leaf-tom-blue-rich_S134_L001_R2_raw.fastq.gz	VEG-05-G-SN-10-leaf-tom-blue-rich	31307
VEG-05-G-SN-11-leaf-tom-blue-rich_S135_L001	13	1.01638449684055	0.371284865112026	OSD-766	16S	Ground	SN11	leaf	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-137-VEG-05-G-SN-11-leaf-tom-blue-rich_S135_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-137-VEG-05-G-SN-11-leaf-tom-blue-rich_S135_L001_R2_raw.fastq.gz	VEG-05-G-SN-11-leaf-tom-blue-rich	38286
VEG-05-G-SN-12-leaf-tom-blue-rich_S136_L001	13	1.05042727875369	0.385438168511916	OSD-766	16S	Ground	SN12	leaf	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-138-VEG-05-G-SN-12-leaf-tom-blue-rich_S136_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-138-VEG-05-G-SN-12-leaf-tom-blue-rich_S136_L001_R2_raw.fastq.gz	VEG-05-G-SN-12-leaf-tom-blue-rich	18764
VEG-05-G-SN09-AdvRoots-tom-blue-rich_S141_L001	5	1.6094379124341	0.8	OSD-766	16S	Ground	SN09	AdvRoot	Blue	Ground_Blue	NA	NA	NA		GLDS-672_Amplicon_16S-143-VEG-05-G-SN09-AdvRoots-tom-blue-rich_S141_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-143-VEG-05-G-SN09-AdvRoots-tom-blue-rich_S141_L001_R2_raw.fastq.gz	VEG-05-G-SN09-AdvRoots-tom-blue-rich	21800
VEG-05-G-tomato-Blue-Swab-1_S39_L001	23	2.06557938112634	0.787657414682835	OSD-766	16S	Ground	NA	swab	Blue	Ground_Blue	NA	NA	NA	chamber	GLDS-672_Amplicon_16S-41-VEG-05-G-tomato-Blue-Swab-1_S39_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-41-VEG-05-G-tomato-Blue-Swab-1_S39_L001_R2_raw.fastq.gz	VEG-05-G-tomato-Blue-Swab-1	34674
VEG-05-G-tomato-Blue-Swab-2_S40_L001	79	2.82909920161461	0.909532340586193	OSD-766	16S	Ground	NA	swab	Blue	Ground_Blue	NA	NA	NA	chamber	GLDS-672_Amplicon_16S-42-VEG-05-G-tomato-Blue-Swab-2_S40_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-42-VEG-05-G-tomato-Blue-Swab-2_S40_L001_R2_raw.fastq.gz	VEG-05-G-tomato-Blue-Swab-2	41915
VEG-05-G-tomato-Blue-Swab-3_S41_L001	45	2.34278650101844	0.827665474957399	OSD-766	16S	Ground	NA	swab	Blue	Ground_Blue	NA	NA	NA	chamber	GLDS-672_Amplicon_16S-43-VEG-05-G-tomato-Blue-Swab-3_S41_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-43-VEG-05-G-tomato-Blue-Swab-3_S41_L001_R2_raw.fastq.gz	VEG-05-G-tomato-Blue-Swab-3	34406
