sample_id	Observed	Shannon	Simpson	study	amplicon	flight	plant	compartment	light	treatment	soil_replicate	harvest	fruit_number	swab_location	fastq_r1	fastq_r2	description	read_depth
VEG-05-F-swab-Locker-1-1_S26_L001	78	2.65683883831058	0.884426067742394	OSD-766	16S	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-1-1	GLDS-672_Amplicon_16S-28-VEG-05-F-swab-Locker-1-1_S26_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-28-VEG-05-F-swab-Locker-1-1_S26_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-1-1	33311
VEG-05-F-swab-Locker-1-2_S27_L001	37	0.674210551318007	0.239667189658597	OSD-766	16S	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-1-2	GLDS-672_Amplicon_16S-29-VEG-05-F-swab-Locker-1-2_S27_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-29-VEG-05-F-swab-Locker-1-2_S27_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-1-2	31693
VEG-05-F-swab-Locker-1-3_S28_L001	87	2.00669635474108	0.722741575511786	OSD-766	16S	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-1-3	GLDS-672_Amplicon_16S-30-VEG-05-F-swab-Locker-1-3_S28_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-30-VEG-05-F-swab-Locker-1-3_S28_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-1-3	513
VEG-05-F-swab-Locker-3-1_S29_L001	41	2.36152473783399	0.810621313149926	OSD-766	16S	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-3-1	GLDS-672_Amplicon_16S-31-VEG-05-F-swab-Locker-3-1_S29_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-31-VEG-05-F-swab-Locker-3-1_S29_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-3-1	144
VEG-05-F-swab-Locker-3-2_S30_L001	77	2.7213413103346	0.890923443408169	OSD-766	16S	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-3-2	GLDS-672_Amplicon_16S-32-VEG-05-F-swab-Locker-3-2_S30_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-32-VEG-05-F-swab-Locker-3-2_S30_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-3-2	25025
VEG-05-F-swab-Locker-3-3_S31_L001	86	2.40266384750354	0.862851011003722	OSD-766	16S	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-3-3	GLDS-672_Amplicon_16S-33-VEG-05-F-swab-Locker-3-3_S31_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-33-VEG-05-F-swab-Locker-3-3_S31_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-3-3	15458
VEG-05-F-swab-SN-01-pillow-exterior_S36_L001	71	2.23436570791429	0.812073070219271	OSD-766	16S	Flight	SN01	swab	NA	Flight	NA	NA	NA	pillow-exterior	GLDS-672_Amplicon_16S-38-VEG-05-F-swab-SN-01-pillow-exterior_S36_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-38-VEG-05-F-swab-SN-01-pillow-exterior_S36_L001_R2_raw.fastq.gz	VEG-05-F-swab-SN-01-pillow-exterior	93
VEG-05-F-swab-SN-03-pillow-exterior_S37_L001	69	1.25050189480803	0.47338949771235	OSD-766	16S	Flight	SN03	swab	NA	Flight	NA	NA	NA	pillow-exterior	GLDS-672_Amplicon_16S-39-VEG-05-F-swab-SN-03-pillow-exterior_S37_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-39-VEG-05-F-swab-SN-03-pillow-exterior_S37_L001_R2_raw.fastq.gz	VEG-05-F-swab-SN-03-pillow-exterior	611
VEG-05-F-swab-SN-07-pillow-exterior_S38_L001	69	2.34106269279315	0.838488606285669	OSD-766	16S	Flight	SN07	swab	NA	Flight	NA	NA	NA	pillow-exterior	GLDS-672_Amplicon_16S-40-VEG-05-F-swab-SN-07-pillow-exterior_S38_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-40-VEG-05-F-swab-SN-07-pillow-exterior_S38_L001_R2_raw.fastq.gz	VEG-05-F-swab-SN-07-pillow-exterior	138
VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001	13	2.45820443278557	0.905	OSD-766	16S	Flight	SN07	fruit	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-25-VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-25-VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001_R2_raw.fastq.gz	VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt	26067
VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001	17	2.61782614691388	0.909090909090909	OSD-766	16S	Flight	SN12	fruit	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-27-VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-27-VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001_R2_raw.fastq.gz	VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt	30474
VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001	21	2.65981397809624	0.903047091412742	OSD-766	16S	Flight	SN01	fruit	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-24-VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-24-VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-GMT83-4-fruit	113
VEG-05-F-tomato-SN-01-root_S2_L001	114	3.09363707903295	0.925847209830822	OSD-766	16S	Flight	SN01	root	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-2-VEG-05-F-tomato-SN-01-root_S2_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-2-VEG-05-F-tomato-SN-01-root_S2_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-root	28798
VEG-05-F-tomato-SN-01-soil-1_S3_L001	110	3.06068229732694	0.920412922174536	OSD-766	16S	Flight	SN01	soil	NA	Flight	1	NA	NA		GLDS-672_Amplicon_16S-3-VEG-05-F-tomato-SN-01-soil-1_S3_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-3-VEG-05-F-tomato-SN-01-soil-1_S3_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-soil-1	307
VEG-05-F-tomato-SN-01-soil-2_S4_L001	125	3.1884515494713	0.934423632261091	OSD-766	16S	Flight	SN01	soil	NA	Flight	2	NA	NA		GLDS-672_Amplicon_16S-4-VEG-05-F-tomato-SN-01-soil-2_S4_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-4-VEG-05-F-tomato-SN-01-soil-2_S4_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-soil-2	145
VEG-05-F-tomato-SN-01-soil-3_S5_L001	116	3.1511789423652	0.929215929772691	OSD-766	16S	Flight	SN01	soil	NA	Flight	3	NA	NA		GLDS-672_Amplicon_16S-5-VEG-05-F-tomato-SN-01-soil-3_S5_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-5-VEG-05-F-tomato-SN-01-soil-3_S5_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-soil-3	4122
VEG-05-F-tomato-SN-01-wick_S1_L001	116	3.02581463309113	0.918922643437832	OSD-766	16S	Flight	SN01	wick	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-1-VEG-05-F-tomato-SN-01-wick_S1_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-1-VEG-05-F-tomato-SN-01-wick_S1_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-wick	116
VEG-05-F-tomato-SN-03-root_S7_L001	103	3.02512140098712	0.92065025082863	OSD-766	16S	Flight	SN03	root	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_16S-8-VEG-05-F-tomato-SN-03-root_S7_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-8-VEG-05-F-tomato-SN-03-root_S7_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-03-root	205
VEG-05-F-tomato-SN-03-soil-1_S8_L001	110	2.99888217829895	0.922376311335383	OSD-766	16S	Flight	SN03	soil	NA	Flight	1	NA	NA		GLDS-672_Amplicon_16S-9-VEG-05-F-tomato-SN-03-soil-1_S8_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_16S-9-VEG-05-F-tomato-SN-03-soil-1_S8_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-03-soil-1	158
