sample_id	Observed	Shannon	Simpson	study	amplicon	flight	plant	compartment	light	treatment	soil_replicate	harvest	fruit_number	swab_location	fastq_r1	fastq_r2	description	read_depth
VEG-05-F-swab-Locker-1-1_S26_L001	4	0.209274324957478	0.085550387796645	OSD-766	ITS	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-1-1	GLDS-672_Amplicon_ITS-28-VEG-05-F-swab-Locker-1-1_S26_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-28-VEG-05-F-swab-Locker-1-1_S26_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-1-1	3175
VEG-05-F-swab-Locker-1-2_S27_L001	9	1.11206893846332	0.59046316110349	OSD-766	ITS	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-1-2	GLDS-672_Amplicon_ITS-29-VEG-05-F-swab-Locker-1-2_S27_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-29-VEG-05-F-swab-Locker-1-2_S27_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-1-2	828
VEG-05-F-swab-Locker-1-3_S28_L001	12	1.33857457683661	0.653875171467764	OSD-766	ITS	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-1-3	GLDS-672_Amplicon_ITS-30-VEG-05-F-swab-Locker-1-3_S28_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-30-VEG-05-F-swab-Locker-1-3_S28_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-1-3	2478
VEG-05-F-swab-Locker-3-1_S29_L001	8	0.884742718737205	0.513111234385273	OSD-766	ITS	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-3-1	GLDS-672_Amplicon_ITS-31-VEG-05-F-swab-Locker-3-1_S29_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-31-VEG-05-F-swab-Locker-3-1_S29_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-3-1	1312
VEG-05-F-swab-Locker-3-2_S30_L001	10	1.06309271218004	0.529867150254364	OSD-766	ITS	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-3-2	GLDS-672_Amplicon_ITS-32-VEG-05-F-swab-Locker-3-2_S30_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-32-VEG-05-F-swab-Locker-3-2_S30_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-3-2	1683
VEG-05-F-swab-Locker-3-3_S31_L001	13	1.39716685673147	0.711578697076213	OSD-766	ITS	Flight	NA	swab	NA	Flight	NA	NA	NA	Locker-3-3	GLDS-672_Amplicon_ITS-33-VEG-05-F-swab-Locker-3-3_S31_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-33-VEG-05-F-swab-Locker-3-3_S31_L001_R2_raw.fastq.gz	VEG-05-F-swab-Locker-3-3	1748
VEG-05-F-swab-SN-01-pillow-exterior_S36_L001	7	1.13391465734858	0.627991530110948	OSD-766	ITS	Flight	SN01	swab	NA	Flight	NA	NA	NA	pillow-exterior	GLDS-672_Amplicon_ITS-38-VEG-05-F-swab-SN-01-pillow-exterior_S36_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-38-VEG-05-F-swab-SN-01-pillow-exterior_S36_L001_R2_raw.fastq.gz	VEG-05-F-swab-SN-01-pillow-exterior	69
VEG-05-F-swab-SN-03-pillow-exterior_S37_L001	6	0.636539741973592	0.342261342037437	OSD-766	ITS	Flight	SN03	swab	NA	Flight	NA	NA	NA	pillow-exterior	GLDS-672_Amplicon_ITS-39-VEG-05-F-swab-SN-03-pillow-exterior_S37_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-39-VEG-05-F-swab-SN-03-pillow-exterior_S37_L001_R2_raw.fastq.gz	VEG-05-F-swab-SN-03-pillow-exterior	592
VEG-05-F-swab-SN-07-pillow-exterior_S38_L001	11	1.43418871843476	0.672823403214272	OSD-766	ITS	Flight	SN07	swab	NA	Flight	NA	NA	NA	pillow-exterior	GLDS-672_Amplicon_ITS-40-VEG-05-F-swab-SN-07-pillow-exterior_S38_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-40-VEG-05-F-swab-SN-07-pillow-exterior_S38_L001_R2_raw.fastq.gz	VEG-05-F-swab-SN-07-pillow-exterior	990
VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001	15	0.729784500974116	0.257355885661982	OSD-766	ITS	Flight	SN07	fruit	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_ITS-25-VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-25-VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001_R2_raw.fastq.gz	VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt	371
VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001	18	0.369533306193347	0.112946637440365	OSD-766	ITS	Flight	SN12	fruit	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_ITS-27-VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-27-VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001_R2_raw.fastq.gz	VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt	940
VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001	7	1.19840182607282	0.631611828404831	OSD-766	ITS	Flight	SN01	fruit	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_ITS-24-VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-24-VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-GMT83-4-fruit	998
VEG-05-F-tomato-SN-01-root_S2_L001	24	0.789303047584102	0.27048403953537	OSD-766	ITS	Flight	SN01	root	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_ITS-2-VEG-05-F-tomato-SN-01-root_S2_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-2-VEG-05-F-tomato-SN-01-root_S2_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-root	819
VEG-05-F-tomato-SN-01-soil-2_S4_L001	16	1.55098408598937	0.703807606614367	OSD-766	ITS	Flight	SN01	soil	NA	Flight	2	NA	NA		GLDS-672_Amplicon_ITS-4-VEG-05-F-tomato-SN-01-soil-2_S4_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-4-VEG-05-F-tomato-SN-01-soil-2_S4_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-soil-2	482
VEG-05-F-tomato-SN-01-soil-3_S5_L001	28	1.50861717783586	0.693820198449438	OSD-766	ITS	Flight	SN01	soil	NA	Flight	3	NA	NA		GLDS-672_Amplicon_ITS-5-VEG-05-F-tomato-SN-01-soil-3_S5_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-5-VEG-05-F-tomato-SN-01-soil-3_S5_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-soil-3	1
VEG-05-F-tomato-SN-01-wick_S1_L001	11	0.871520043964112	0.42651660983322	OSD-766	ITS	Flight	SN01	wick	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_ITS-1-VEG-05-F-tomato-SN-01-wick_S1_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-1-VEG-05-F-tomato-SN-01-wick_S1_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-01-wick	1
VEG-05-F-tomato-SN-03-soil-1_S8_L001	33	1.23011661781146	0.476787910320689	OSD-766	ITS	Flight	SN03	soil	NA	Flight	1	NA	NA		GLDS-672_Amplicon_ITS-9-VEG-05-F-tomato-SN-03-soil-1_S8_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-9-VEG-05-F-tomato-SN-03-soil-1_S8_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-03-soil-1	3824
VEG-05-F-tomato-SN-03-soil-2_S9_L001	30	1.44657242626555	0.577997736236552	OSD-766	ITS	Flight	SN03	soil	NA	Flight	2	NA	NA		GLDS-672_Amplicon_ITS-10-VEG-05-F-tomato-SN-03-soil-2_S9_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-10-VEG-05-F-tomato-SN-03-soil-2_S9_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-03-soil-2	3021
VEG-05-F-tomato-SN-03-soil-3_S10_L001	29	1.16914879539601	0.46668911335578	OSD-766	ITS	Flight	SN03	soil	NA	Flight	3	NA	NA		GLDS-672_Amplicon_ITS-11-VEG-05-F-tomato-SN-03-soil-3_S10_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-11-VEG-05-F-tomato-SN-03-soil-3_S10_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-03-soil-3	3001
VEG-05-F-tomato-SN-03-wick_S6_L001	15	1.17208877855374	0.567116038006262	OSD-766	ITS	Flight	SN03	wick	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_ITS-7-VEG-05-F-tomato-SN-03-wick_S6_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-7-VEG-05-F-tomato-SN-03-wick_S6_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-03-wick	2268
VEG-05-F-tomato-SN-07-root_S12_L001	34	1.24227939464825	0.507843902994732	OSD-766	ITS	Flight	SN07	root	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_ITS-14-VEG-05-F-tomato-SN-07-root_S12_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-14-VEG-05-F-tomato-SN-07-root_S12_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-root	862
VEG-05-F-tomato-SN-07-soil-1_S13_L001	32	1.20212725709533	0.475304637181149	OSD-766	ITS	Flight	SN07	soil	NA	Flight	1	NA	NA		GLDS-672_Amplicon_ITS-15-VEG-05-F-tomato-SN-07-soil-1_S13_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-15-VEG-05-F-tomato-SN-07-soil-1_S13_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-soil-1	1159
VEG-05-F-tomato-SN-07-soil-2_S14_L001	33	1.61484433406427	0.709294155107278	OSD-766	ITS	Flight	SN07	soil	NA	Flight	2	NA	NA		GLDS-672_Amplicon_ITS-16-VEG-05-F-tomato-SN-07-soil-2_S14_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-16-VEG-05-F-tomato-SN-07-soil-2_S14_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-soil-2	901
VEG-05-F-tomato-SN-07-soil-3_S15_L001	32	1.57724449395652	0.693297241946223	OSD-766	ITS	Flight	SN07	soil	NA	Flight	3	NA	NA		GLDS-672_Amplicon_ITS-17-VEG-05-F-tomato-SN-07-soil-3_S15_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-17-VEG-05-F-tomato-SN-07-soil-3_S15_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-soil-3	5297
VEG-05-F-tomato-SN-07-wick_S11_L001	11	0.484063031512559	0.183165005293103	OSD-766	ITS	Flight	SN07	wick	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_ITS-13-VEG-05-F-tomato-SN-07-wick_S11_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-13-VEG-05-F-tomato-SN-07-wick_S11_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-07-wick	986
VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001	21	0.413094416292981	0.124127932690706	OSD-766	ITS	Flight	SN10	fruit	NA	Flight	NA	NA	NA		GLDS-672_Amplicon_ITS-23-VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001_R1_raw.fastq.gz	GLDS-672_Amplicon_ITS-23-VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001_R2_raw.fastq.gz	VEG-05-F-tomato-SN-10-GMT66-2-fruit	1113
