amplicon	sample_id	compartment	flight	dist_to_ground_centroid	ground_within_group_dist	dysbiosis_index	light
ITS	VEG-05-G-tomato-SN-07-wick_S95_L001	wick	Ground	0.686941218086579	0.791175232204888	0.868254199732941	NA
ITS	VEG-05-F-tomato-SN-03-soil-2_S9_L001	soil	Flight	0.68060065276363	0.415436057657531	1.63828016422371	NA
ITS	VEG-05-F-tomato-SN-03-soil-3_S10_L001	soil	Flight	0.688790799461496	0.415436057657531	1.65799474254906	NA
ITS	VEG-05-F-tomato-SN-07-soil-1_S13_L001	soil	Flight	0.590182456689938	0.415436057657531	1.42063368311775	NA
ITS	VEG-05-F-tomato-SN-07-soil-2_S14_L001	soil	Flight	0.438471985930716	0.415436057657531	1.05544999729459	NA
ITS	VEG-05-F-tomato-SN-07-soil-3_S15_L001	soil	Flight	0.449909052103937	0.415436057657531	1.0829802657015	NA
ITS	VEG-05-F-tomato-SN-10-soil-1_S18_L001	soil	Flight	0.360866667894244	0.415436057657531	0.868645514135241	NA
ITS	VEG-05-F-tomato-SN-10-soil-2_S19_L001	soil	Flight	0.305650097527077	0.415436057657531	0.7357331938169	NA
ITS	VEG-05-F-tomato-SN-10-soil-3_S20_L001	soil	Flight	0.458458245522325	0.415436057657531	1.10355910872874	NA
ITS	VEG-05-F-tomato-SN-01-soil-2_S4_L001	soil	Flight	0.817032751457197	0.415436057657531	1.96668713848312	NA
ITS	VEG-05-F-tomato-SN-01-soil-3_S5_L001	soil	Flight	0.732715435904201	0.415436057657531	1.76372614364693	NA
ITS	VEG-05-F-tomato-SN-03-soil-1_S8_L001	soil	Flight	0.687491634471148	0.415436057657531	1.65486751041213	NA
ITS	VEG-05-G-tomato-SN-10-soil-3_S104_L001	soil	Ground	0.821967352607888	0.415436057657531	1.97856526282917	NA
ITS	VEG-05-G-tomato-SN-01-soil-1_S87_L001	soil	Ground	0.439252362144056	0.415436057657531	1.05732844813908	NA
ITS	VEG-05-G-tomato-SN-01-soil-2_S88_L001	soil	Ground	0.343045716540644	0.415436057657531	0.825748536308894	NA
ITS	VEG-05-G-tomato-SN-01-soil-3_S89_L001	soil	Ground	0.337102042175755	0.415436057657531	0.811441462439564	NA
ITS	VEG-05-G-tomato-SN-03-soil-1_S92_L001	soil	Ground	0.307838678533894	0.415436057657531	0.74100134752305	NA
ITS	VEG-05-G-tomato-SN-03-soil-2_S93_L001	soil	Ground	0.325938420868287	0.415436057657531	0.7845694057134	NA
ITS	VEG-05-G-tomato-SN-03-soil-3_S94_L001	soil	Ground	0.332907830732196	0.415436057657531	0.801345537046838	NA
