sample	input	filtered	denoisedF	denoisedR	merged	nonchim
VEG-05-G-SN-03-leaf-tom-red-rich_S127_L001	37148	35269	35260	35257	35094	34749
VEG-05-F-tomato-SN-07-wick_S11_L001	46488	43690	43579	43631	41523	40133
VEG-05-G-SN-04-leaf-tom-red-rich_S128_L001	31034	29514	29508	29504	29344	28997
VEG-05-G-SN-05-leaf-tom-red-rich_S129_L001	27609	26300	26293	26294	26171	25916
VEG-05-G-SN-06-leaf-tom-red-rich_S130_L001	34852	32919	32907	32893	32695	32284
VEG-05-G-SN-07-leaf-tom-blue-rich_S131_L001	32897	30986	30983	30973	30763	30396
VEG-05-G-SN-08-leaf-tom-blue-rich_S132_L001	41585	39636	39612	39613	39383	38933
VEG-05-G-SN-09-leaf-tom-blue-rich_S133_L001	34230	32483	32473	32473	32228	31776
VEG-05-G-SN-10-leaf-tom-blue-rich_S134_L001	33010	31299	31285	31279	31089	30786
VEG-05-G-SN-11-leaf-tom-blue-rich_S135_L001	33912	32249	32242	32237	32062	31750
VEG-05-G-SN-12-leaf-tom-blue-rich_S136_L001	35371	33463	33452	33443	33245	32912
VEG-05-G-SN-02-AdvRoots-tom-blue_S137_L001	31520	30085	30075	30071	29918	29626
VEG-05-F-tomato-SN-07-root_S12_L001	49921	47295	47220	47248	46093	44575
VEG-05-G-SN-04-AdvRoots-tom-blue_S138_L001	29801	28370	28357	28347	27991	27449
VEG-05-G-SN-05-AdvRoots-tom-blue_S139_L001	38210	36216	36201	36197	35894	35460
VEG-05-G-SN-07-AdvRoots-tom-blue_S140_L001	27993	26718	26686	26690	26130	25896
VEG-05-G-SN09-AdvRoots-tom-blue-rich_S141_L001	116	58	57	58	55	55
VEG-05-G-SN-10-AdvRoots-tom-blue_S142_L001	30096	28382	28371	28361	28010	27743
VEG-05-F-tomato-SN-07-soil-1_S13_L001	45662	43336	43194	43251	41863	39738
VEG-05-F-tomato-SN-07-soil-2_S14_L001	43802	41509	41407	41431	40070	38491
VEG-05-F-tomato-SN-07-soil-3_S15_L001	46316	44023	43867	43938	42329	39714
VEG-05-F-tomato-SN-10-wick_S16_L001	49415	46594	46479	46508	45020	42561
VEG-05-F-tomato-SN-10-root_S17_L001	48365	46053	45990	46003	45065	43647
VEG-05-F-tomato-SN-01-root_S2_L001	42597	40265	40199	40218	39113	37666
VEG-05-F-tomato-SN-10-soil-1_S18_L001	46432	44305	44148	44199	42642	40235
VEG-05-F-tomato-SN-10-soil-2_S19_L001	56092	53262	53103	53162	51359	48465
VEG-05-F-tomato-SN-10-soil-3_S20_L001	49337	47027	46881	46929	45417	43003
VEG-05-F-tomato-SN-10-GMT66-2-fruit_S21_L001	28732	27112	27095	27060	26742	26273
VEG-05-F-tomato-SN-01-GMT83-4-fruit_S22_L001	303	101	101	101	85	82
VEG-05-F-tom-SN-07-GMT83-2-Rtwo-grn-frt_S23_L001	302	55	55	52	38	37
VEG-05-F-tomato-SN-10-GMT83-2-fruit_S24_L001	242	54	52	50	37	35
VEG-05-F-tom-SN-12-GMT83-1-Rone-grn-frt_S25_L001	34973	32812	32804	32764	32335	31878
VEG-05-F-swab-Locker-1-1_S26_L001	36935	35172	35131	35137	34035	33230
VEG-05-F-swab-Locker-1-2_S27_L001	33309	32295	32195	32251	31877	29881
VEG-05-F-tomato-SN-01-soil-1_S3_L001	40454	38150	38037	38099	36694	34961
VEG-05-F-swab-Locker-1-3_S28_L001	56180	53603	53353	53510	52232	48550
VEG-05-F-swab-Locker-3-1_S29_L001	1314	1214	1213	1212	1173	1139
VEG-05-F-swab-Locker-3-2_S30_L001	51115	49160	49016	48993	47659	45447
VEG-05-F-swab-Locker-3-3_S31_L001	47675	45876	45765	45811	44729	42613
VEG-05-F-water-Locker-1-root-mat_S32_L001	29482	27162	27139	27146	26864	26393
VEG-05-F-water-Locker-3-root-mat_S33_L001	364	70	70	69	63	63
VEG-05-F-water-SN-09_S34_L001	10223	9306	9300	9296	9065	9050
VEG-05-F-water-SN-10_S35_L001	10645	9599	9598	9593	9322	9312
VEG-05-F-swab-SN-01-pillow-exterior_S36_L001	47135	45427	45358	45365	44443	42856
VEG-05-F-swab-SN-03-pillow-exterior_S37_L001	39897	37923	37894	37882	37445	36308
VEG-05-F-tomato-SN-01-soil-2_S4_L001	40393	38014	37868	37920	36347	34196
VEG-05-F-swab-SN-07-pillow-exterior_S38_L001	41523	39309	39253	39265	38189	37002
VEG-05-G-tomato-Blue-Swab-1_S39_L001	1006	539	537	533	510	510
VEG-05-G-tomato-Blue-Swab-2_S40_L001	25554	24363	24338	24335	23441	23381
VEG-05-G-tomato-Blue-Swab-3_S41_L001	5055	4567	4530	4541	4326	3968
VEG-05-G-tomato-Blue-Swab-4_S42_L001	2673	2097	2090	2088	2036	2009
VEG-05-G-tomato-Blue-Swab-5_S43_L001	52278	49113	49093	49096	48816	47840
VEG-05-G-tomato-Blue-Swab-6_S44_L001	1437	346	340	341	322	320
VEG-05-G-tomato-Blue-Swab-7_S45_L001	6580	5967	5950	5955	5865	5481
VEG-05-G-tomato-Blue-Swab-8_S46_L001	342	63	63	60	54	54
VEG-05-G-tomato-Red-Swab-1_S47_L001	290	16	15	16	14	13
VEG-05-F-tomato-SN-01-soil-3_S5_L001	44262	41778	41606	41709	39903	37090
VEG-05-G-tomato-Red-Swab-2_S48_L001	511	23	21	21	21	21
VEG-05-G-tomato-Red-Swab-3_S49_L001	446	34	34	34	33	32
VEG-05-G-tomato-Red-Swab-4_S50_L001	2586	2309	2279	2294	2062	2051
VEG-05-G-tomato-Red-Swab-5_S51_L001	1063	503	499	500	459	458
VEG-05-G-tomato-Red-Swab-6_S52_L001	645	112	108	112	103	103
VEG-05-G-tomato-Red-Swab-7_S53_L001	1725	524	519	512	458	441
VEG-05-G-tomato-Red-Swab-8_S54_L001	330	291	289	286	250	241
VEG-05-G-tomato-Hrvst-1-Fruit-1_S55_L001	57	43	43	43	42	41
VEG-05-G-tomato-Hrvst-1-Fruit-2_S56_L001	30950	29455	29438	29435	29193	28497
VEG-05-G-tomato-Hrvst-1-Fruit-3_S57_L001	31930	30494	30478	30485	30293	29739
VEG-05-G-tomato-Hrvst-1-Fruit-4_S58_L001	29241	27748	27739	27739	27548	27029
VEG-05-G-tomato-Hrvst-1-Fruit-5_S59_L001	30075	28176	28161	28160	27970	27428
VEG-05-G-tomato-Hrvst-1-Fruit-7_S60_L001	31065	29526	29513	29515	29357	28781
VEG-05-G-tomato-Hrvst-1-Fruit-8_S61_L001	26810	25441	25430	25439	25252	24748
VEG-05-G-tomato-Hrvst-1-Fruit-9_S62_L001	33270	31498	31488	31485	31313	30691
VEG-05-G-tomato-Hrvst-1-Fruit-10_S63_L001	31131	29565	29555	29557	29378	28879
VEG-05-G-tomato-Hrvst-2-Fruit-1_S64_L001	27525	25817	25798	25803	25562	25188
VEG-05-G-tomato-Hrvst-2-Fruit-2_S65_L001	25209	23609	23591	23568	23190	22824
VEG-05-G-tomato-Hrvst-2-Fruit-3_S66_L001	25430	23838	23828	23803	23484	23139
VEG-05-G-tomato-Hrvst-2-Fruit-4_S67_L001	27786	26354	26348	26347	26190	25769
VEG-05-F-tomato-SN-03-wick_S6_L001	40869	38866	38787	38821	37876	35772
VEG-05-G-tomato-Hrvst-2-Fruit-5_S68_L001	21094	19846	19827	19823	19528	19159
VEG-05-G-tomato-Hrvst-2-Fruit-6_S69_L001	33946	32495	32483	32477	32312	31875
VEG-05-G-tomato-Hrvst-2-Fruit-7_S70_L001	27490	25649	25636	25610	25148	24674
VEG-05-G-tomato-Hrvst-2-Fruit-9_S71_L001	34016	31574	31569	31564	31334	30859
VEG-05-G-tomato-Hrvst-2-Fruit-10_S72_L001	32784	30731	30715	30717	30401	29919
VEG-05-G-tomato-Hrvst-2-Fruit-11_S73_L001	33160	31225	31208	31208	31019	30497
VEG-05-G-tomato-Hrvst-2-Fruit-12_S74_L001	30808	28849	28835	28836	28657	28288
VEG-05-G-tomato-Hrvst-3-Fruit-1_S75_L001	31925	29803	29793	29790	29533	28887
VEG-05-G-tomato-Hrvst-3-Fruit-2_S76_L001	27258	25317	25305	25300	25058	24580
VEG-05-G-tomato-Hrvst-3-Fruit-3_S77_L001	31936	30156	30146	30145	29931	29465
VEG-05-F-tomato-SN-03-root_S7_L001	47951	45542	45471	45492	44242	42696
VEG-05-G-tomato-Hrvst-3-Fruit-4_S78_L001	17721	16368	16363	16337	15915	15733
VEG-05-G-tomato-Hrvst-3-Fruit-5_S79_L001	34741	32716	32701	32708	32506	31937
VEG-05-G-tomato-Hrvst-3-Fruit-7_S80_L001	28481	26518	26505	26487	25926	25545
VEG-05-G-tomato-Hrvst-3-Fruit-8_S81_L001	32808	31036	31031	31026	30806	30350
VEG-05-G-tomato-Hrvst-3-Fruit-10_S82_L001	31145	29107	29096	29087	28862	28355
VEG-05-G-tomato-Hrvst-3-Fruit-11_S83_L001	31551	29484	29474	29465	29225	28685
VEG-05-G-tomato-Hrvst-3-Fruit-12_S84_L001	26508	25106	25103	25096	24913	24539
VEG-05-G-tomato-SN-01-wick_S85_L001	28168	26727	26655	26688	25706	24745
VEG-05-G-tomato-SN-01-root_S86_L001	28673	27198	27132	27156	26408	25733
VEG-05-G-tomato-SN-01-soil-1_S87_L001	29470	28198	28095	28131	26797	25601
VEG-05-F-tomato-SN-03-soil-1_S8_L001	52286	49262	49117	49176	47372	44530
VEG-05-G-tomato-SN-01-soil-2_S88_L001	36813	35038	34979	34980	32875	32026
VEG-05-G-tomato-SN-01-soil-3_S89_L001	40085	38559	38375	38453	36083	33667
VEG-05-G-tomato-SN-03-wick_S90_L001	27971	26923	26874	26889	25979	25239
VEG-05-G-tomato-SN-03-root_S91_L001	30182	28808	28753	28753	27848	26934
VEG-05-G-tomato-SN-03-soil-1_S92_L001	23276	22212	22175	22194	20841	20719
VEG-05-G-tomato-SN-03-soil-2_S93_L001	28860	27668	27647	27646	25909	25719
VEG-05-G-tomato-SN-03-soil-3_S94_L001	37159	35339	35288	35309	33257	32565
VEG-05-G-tomato-SN-07-wick_S95_L001	26730	25276	25172	25194	23914	23076
VEG-05-G-tomato-SN-07-root_S96_L001	37643	35879	35800	35814	34600	33741
VEG-05-G-tomato-SN-07-soil-1_S97_L001	204	166	157	163	127	127
