sample	input	filtered	denoisedF	denoisedR	merged	nonchim
VEG-05-F-tomato-SN-01-wick_S1_L001	44569	41850	41730	41774	39651	38010
VEG-05-F-tomato-SN-03-soil-2_S9_L001	41775	39666	39526	39597	38013	35514
VEG-05-G-tomato-SN-07-soil-2_S98_L001	819	734	732	729	681	681
VEG-05-G-tomato-SN-07-soil-3_S99_L001	218	199	197	197	177	175
VEG-05-G-tomato-SN-10-wick_S100_L001	33351	31604	31458	31463	28666	27383
VEG-05-G-tomato-SN-10-root_S101_L001	31846	30548	30484	30520	29562	28912
VEG-05-G-tomato-SN-10-soil-1_S102_L001	162	130	130	129	112	112
VEG-05-G-tomato-SN-10-soil-2_S103_L001	845	760	754	756	713	710
VEG-05-G-tomato-SN-10-soil-3_S104_L001	259	201	194	196	173	172
VEG-05-G-water-SN-006-blue-rich_S105_L001	32541	31520	31391	31436	27274	26211
VEG-05-G-water-SN-003-red-rich_S106_L001	34626	33375	33244	33270	31460	30735
VEG-05F-SN01-leaf-tom-red-rich_S107_L001	31890	30034	30024	30017	29818	29364
VEG-05-F-tomato-SN-03-soil-3_S10_L001	42532	40447	40337	40380	38934	36911
VEG-05F-SN03-leaf-tom-red-rich_S108_L001	24183	22960	22951	22948	22786	22455
VEG-05F-SN04-leaf-tom-red-rich_S109_L001	31284	29663	29649	29643	29425	29010
VEG-05F-SN05-leaf-tom-red-rich_S110_L001	23885	22658	22638	22649	22373	22093
VEG-05F-SN06-leaf-tom-red-rich_S111_L001	32803	31170	31160	31159	30984	30510
VEG-05F-SN07-leaf-tom-blue-rich_S112_L001	24216	22815	22807	22803	22668	22394
VEG-05F-SN08-leaf-tom-blue-rich_S113_L001	23595	22538	22531	22529	22399	22104
VEG-05F-SN010-leaf-tom-blue-rich_S114_L001	40994	39164	39150	39156	38935	38433
VEG-05F-SN012-leaf-tom-blue-rich_S115_L001	30711	29171	29161	29160	28997	28656
VEG-05F-SN01-AdvRoot-tom-red-rich_S116_L001	27693	26610	26531	26576	25658	25137
VEG-05F-SN03-AdvRoot-tom-red-rich_S117_L001	29960	28677	28634	28648	28000	26784
VEG-05F-SN04-AdvRoot-tom-red-rich_S118_L001	30769	29118	29083	29090	28467	27776
VEG-05F-SN05-AdvRoot-tom-red-rich_S119_L001	32178	30265	30235	30240	29796	29099
VEG-05F-SN06-AdvRoot-tom-red-rich_S120_L001	37426	35543	35530	35533	35305	34875
VEG-05F-SN07-AdvRoot-tom-blue-rich_S121_L001	28877	27404	27362	27377	27004	26574
VEG-05F-SN08-AdvRoot-tom-blue-rich_S122_L001	30336	28649	28639	28635	28399	28050
VEG-05F-SN010-AdvRoot-tom-blue-rich_S123_L001	34707	33098	33044	33055	32252	31695
VEG-05F-SN012-AdvRoot-tom-blue-rich_S124_L001	28929	27403	27336	27352	26645	26113
VEG-05-G-SN-01-leaf-tom-red-rich_S125_L001	33717	32182	32169	32168	31996	31549
VEG-05-G-SN-02-leaf-tom-red-rich_S126_L001	27257	25919	25908	25907	25735	25352
