ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV026	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV027	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV028	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV029	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV030	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV031	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV032	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	NA
ASV033	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_mucilaginosa
ASV034	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV035	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV036	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV037	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV038	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Hyphodontia	Hyphodontia_microspora
ASV039	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	unidentified
ASV040	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV041	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	Byssochlamys_spectabilis
ASV042	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_niger
ASV043	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV044	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	Erythrobasidium_hasegawianum
ASV045	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_laurentii
ASV046	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV047	Fungi	NA	NA	NA	NA	NA	NA
ASV048	Fungi	NA	NA	NA	NA	NA	NA
ASV049	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
ASV050	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_citrinum
ASV051	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV052	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia_lipolytica
ASV053	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
ASV054	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV055	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV056	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV057	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Parasola	Parasola_plicatilis
ASV058	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV059	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV060	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Phlebia	Phlebia_acanthocystis
ASV061	NA	NA	NA	NA	NA	NA	NA
ASV062	Fungi	NA	NA	NA	NA	NA	NA
ASV063	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV064	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_aurea
ASV065	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV066	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV067	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_citrinum
ASV068	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV069	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV070	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV071	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV072	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV073	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV074	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV075	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV076	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV077	Fungi	Ascomycota	NA	NA	NA	NA	NA
