ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV001	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV002	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
ASV003	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_citrinum
ASV004	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV005	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_subversicolor
ASV006	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV007	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	Byssochlamys_spectabilis
ASV008	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_pimiteouiense
ASV009	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV010	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium_lilacinum
ASV011	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_subversicolor
ASV012	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
ASV013	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_citrinum
ASV014	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV015	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV016	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV017	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV018	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV019	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV020	Fungi	NA	NA	NA	NA	NA	NA
ASV021	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV022	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV023	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV024	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV025	Fungi	Ascomycota	NA	NA	NA	NA	NA
