tissue	module_color	gene_id	module_membership	n_genes_in_module
Adv-Root	turquoise	Solyc07g005380.4	0.984706458493209	1768
Adv-Root	turquoise	Solyc09g075070.3	0.981288847313039	1768
Adv-Root	turquoise	Solyc08g005880.4	0.977345935498824	1768
Adv-Root	turquoise	Solyc12g042600.2	0.976523418976038	1768
Adv-Root	turquoise	Solyc09g008250.4	0.975393708814785	1768
Adv-Root	turquoise	Solyc08g079230.1	0.974483121646761	1768
Adv-Root	turquoise	Solyc07g017880.4	0.971129988907082	1768
Adv-Root	turquoise	Solyc09g011590.4	0.97095810017659	1768
Adv-Root	turquoise	Solyc06g150137.1	0.97087418384937	1768
Adv-Root	turquoise	Solyc09g090600.3	0.970854456852772	1768
Adv-Root	magenta	Solyc01g006540.4	0.971330167839043	133
Adv-Root	magenta	Solyc09g065100.3	0.966003178454415	133
Adv-Root	magenta	Solyc08g078400.3	0.961576850854362	133
Adv-Root	magenta	Solyc06g059710.3	0.961282770010766	133
Adv-Root	magenta	Solyc09g092620.3	0.961128741514998	133
Adv-Root	magenta	Solyc09g091510.3	0.960205219030448	133
Adv-Root	magenta	Solyc03g111815.1	0.958271119197305	133
Adv-Root	magenta	Solyc04g150164.1	0.957863518499766	133
Adv-Root	magenta	Solyc05g053550.3	0.95607100590283	133
Adv-Root	magenta	Solyc01g094090.4	0.955807293823449	133
Adv-Root	yellow	Solyc12g049030.1	0.949134885465571	359
Adv-Root	yellow	Solyc11g069800.1	0.938654996454832	359
Adv-Root	yellow	Solyc05g006340.3	0.935274926112655	359
Adv-Root	yellow	Solyc09g063150.3	0.934322005112377	359
Adv-Root	yellow	Solyc05g044490.3	0.933270363920975	359
Adv-Root	yellow	Solyc04g078660.2	0.931043879301109	359
Adv-Root	yellow	Solyc09g009520.3	0.93027668050682	359
Adv-Root	yellow	Solyc03g006760.4	0.929993770313592	359
Adv-Root	yellow	Solyc04g015460.4	0.928133214122822	359
Adv-Root	yellow	Solyc11g065940.2	0.921307103977449	359
Adv-Root	brown	Solyc07g005330.3	0.984268170935882	439
Adv-Root	brown	Solyc09g064480.1	0.981949449328828	439
Adv-Root	brown	Solyc01g010660.3	0.980781667073173	439
Adv-Root	brown	Solyc02g087210.3	0.978995086804025	439
Adv-Root	brown	Solyc01g102350.3	0.975911138433368	439
Adv-Root	brown	Solyc08g059715.1	0.970594594448419	439
Adv-Root	brown	Solyc06g035700.1	0.970422975004434	439
Adv-Root	brown	Solyc10g086690.3	0.965403320019017	439
Adv-Root	brown	Solyc03g008010.3	0.96517518919593	439
Adv-Root	brown	Solyc04g074950.3	0.963360129183994	439
Adv-Root	salmon	Solyc02g082820.3	0.943314435644619	54
