tissue	module_color	gene_id	module_membership	n_genes_in_module
Adv-Root	salmon	Solyc07g054690.1	0.938378302279983	54
Adv-Root	salmon	Solyc01g106540.4	0.933693998230634	54
Adv-Root	salmon	Solyc02g083640.4	0.929807220717173	54
Adv-Root	salmon	Solyc10g078330.2	0.927818287738839	54
Adv-Root	salmon	Solyc05g005580.3	0.922120201590866	54
Adv-Root	salmon	Solyc10g008210.3	0.921922624417266	54
Adv-Root	salmon	Solyc04g082430.3	0.912605700011956	54
Adv-Root	salmon	Solyc08g066050.3	0.904359338793842	54
Adv-Root	salmon	Solyc07g065210.4	0.903420021658714	54
Adv-Root	black	Solyc05g007130.4	0.969177627047561	169
Adv-Root	black	Solyc04g074920.2	0.958407158243391	169
Adv-Root	black	Solyc01g111740.3	0.946988775464994	169
Adv-Root	black	Solyc02g070000.4	0.943643133923725	169
Adv-Root	black	Solyc06g060270.4	0.943117957576334	169
Adv-Root	black	Solyc09g061940.3	0.940711986480324	169
Adv-Root	black	Solyc03g114700.2	0.940576556420025	169
Adv-Root	black	Solyc02g069430.4	0.939431568294972	169
Adv-Root	black	Solyc02g030130.4	0.930399438733624	169
Adv-Root	black	Solyc09g064230.3	0.929989547582943	169
Adv-Root	purple	Solyc12g015800.2	0.974431116537544	109
Adv-Root	purple	Solyc11g069250.2	0.96714206893633	109
Adv-Root	purple	Solyc06g068770.3	0.965534928950768	109
Adv-Root	purple	Solyc06g050920.4	0.961565342733496	109
Adv-Root	purple	Solyc09g007660.1	0.960135608348969	109
Adv-Root	purple	Solyc08g074960.3	0.957091475507659	109
Adv-Root	purple	Solyc12g014200.3	0.955622724427872	109
Adv-Root	purple	Solyc07g005840.2	0.953161604570644	109
Adv-Root	purple	Solyc09g072820.4	0.95121608409842	109
Adv-Root	purple	Solyc05g010800.3	0.949088761720594	109
Adv-Root	green	Solyc02g083170.3	0.972455097859418	287
Adv-Root	green	Solyc10g084000.3	0.971875000206453	287
Adv-Root	green	Solyc03g121660.3	0.969164150765276	287
Adv-Root	green	Solyc08g077560.4	0.961929115667126	287
Adv-Root	green	Solyc01g104240.3	0.951663167971676	287
Adv-Root	green	Solyc06g066740.3	0.949133605531349	287
Adv-Root	green	Solyc08g065150.1	0.945939640833452	287
Adv-Root	green	Solyc12g019710.1	0.944890598142766	287
Adv-Root	green	Solyc02g092470.3	0.944709498006807	287
Adv-Root	green	Solyc06g075250.3	0.941806994054711	287
Adv-Root	midnightblue	Solyc03g097510.1	0.974197758015304	43
Adv-Root	midnightblue	Solyc03g111880.3	0.970526606332738	43
Adv-Root	midnightblue	Solyc09g092410.4	0.966845387970522	43
Adv-Root	midnightblue	Solyc08g075570.4	0.957569714657803	43
Adv-Root	midnightblue	Solyc05g047680.4	0.951266213054067	43
Adv-Root	midnightblue	Solyc03g025350.3	0.934829143743774	43
Adv-Root	midnightblue	Solyc10g049280.2	0.930536940169539	43
Adv-Root	midnightblue	Solyc02g084930.3	0.929995695055903	43
Adv-Root	midnightblue	Solyc03g080150.3	0.922291725121224	43
Adv-Root	midnightblue	Solyc08g082990.3	0.917457940036462	43
Adv-Root	red	Solyc05g052630.4	0.961017275320841	212
Adv-Root	red	Solyc01g009430.3	0.939582794493387	212
Adv-Root	red	Solyc08g078670.2	0.935480559169034	212
Adv-Root	red	Solyc03g116320.3	0.933798483876363	212
Adv-Root	red	Solyc06g053910.4	0.927699706386172	212
Adv-Root	red	Solyc03g093540.1	0.926488019168704	212
Adv-Root	red	Solyc12g087860.3	0.924622671488501	212
Adv-Root	red	Solyc01g109800.2	0.921112947188191	212
Adv-Root	red	Solyc10g080610.1	0.920942698210883	212
Adv-Root	red	Solyc12g098850.2	0.918375391028624	212
Adv-Root	pink	Solyc03g123460.4	0.980518990527477	141
Adv-Root	pink	Solyc03g083010.3	0.9667513064967	141
Adv-Root	pink	Solyc11g016930.1	0.966693064163557	141
Adv-Root	pink	Solyc04g009440.3	0.961278826246107	141
Adv-Root	pink	Solyc03g083690.1	0.960380926360057	141
Adv-Root	pink	Solyc01g098580.3	0.95594271597606	141
Adv-Root	pink	Solyc01g057080.1	0.95163797896556	141
Adv-Root	pink	Solyc02g085730.3	0.950113153478585	141
Adv-Root	pink	Solyc03g118450.1	0.94547047218389	141
Adv-Root	pink	Solyc09g083360.3	0.943467765003946	141
Adv-Root	blue	Solyc07g052940.4	0.985821379115242	998
Adv-Root	blue	Solyc09g014410.3	0.983625973696951	998
Adv-Root	blue	Solyc05g013490.4	0.981762536005948	998
Adv-Root	blue	Solyc05g013400.4	0.98055004659699	998
Adv-Root	blue	Solyc06g066470.4	0.980212384161651	998
Adv-Root	blue	Solyc05g044610.3	0.980084300188796	998
Adv-Root	blue	Solyc02g077280.4	0.979950758555092	998
Adv-Root	blue	Solyc08g006420.3	0.97839586118961	998
Adv-Root	blue	Solyc07g022780.2	0.976681929660608	998
Adv-Root	blue	Solyc12g070270.2	0.976562840208917	998
Adv-Root	greenyellow	Solyc09g010060.3	0.977598614557806	82
Adv-Root	greenyellow	Solyc11g012610.2	0.969376001931277	82
Adv-Root	greenyellow	Solyc10g006000.4	0.967637349260556	82
Adv-Root	greenyellow	Solyc01g087500.3	0.955184614104321	82
Adv-Root	greenyellow	Solyc08g076190.3	0.954485822523629	82
Adv-Root	greenyellow	Solyc03g114690.4	0.950071783896548	82
Adv-Root	greenyellow	Solyc02g092950.3	0.933711112141504	82
Adv-Root	greenyellow	Solyc02g087980.3	0.928430786801543	82
Adv-Root	greenyellow	Solyc03g093260.3	0.926599796183292	82
Adv-Root	greenyellow	Solyc01g088380.3	0.917723263076606	82
Adv-Root	cyan	Solyc07g066150.1	0.948457422666332	50
Adv-Root	cyan	Solyc06g074200.4	0.94594904549122	50
Adv-Root	cyan	Solyc03g115900.4	0.938635905910561	50
Adv-Root	cyan	Solyc02g063150.3	0.935139715833293	50
Adv-Root	cyan	Solyc10g006230.3	0.924605657761926	50
Adv-Root	cyan	Solyc01g109040.4	0.92428852918885	50
Adv-Root	cyan	Solyc08g076220.3	0.922406036089077	50
Adv-Root	cyan	Solyc09g063130.3	0.921757423693304	50
Adv-Root	cyan	Solyc02g071030.2	0.916354455126075	50
Adv-Root	cyan	Solyc09g011810.3	0.902766350395113	50
Adv-Root	tan	Solyc03g005460.4	0.949497151780723	61
Adv-Root	tan	Solyc01g079750.3	0.945080102685733	61
Adv-Root	tan	Solyc04g077830.2	0.940421628550776	61
Adv-Root	tan	Solyc05g014540.3	0.938432304628827	61
Adv-Root	tan	Solyc04g078310.3	0.927497816888067	61
Adv-Root	tan	Solyc10g079510.3	0.925553794732372	61
Adv-Root	tan	Solyc09g097860.4	0.922917000684729	61
Adv-Root	tan	Solyc08g062940.4	0.913753160876545	61
Adv-Root	tan	Solyc01g079970.2	0.910279229729055	61
Adv-Root	tan	Solyc02g094100.4	0.908962040946028	61
Adv-Root	lightcyan	Solyc08g062330.3	0.97151261020459	36
Adv-Root	lightcyan	Solyc04g048900.3	0.936427109521743	36
Adv-Root	lightcyan	Solyc11g017270.2	0.915412785123323	36
Adv-Root	lightcyan	Solyc07g008590.1	0.914505114142024	36
Adv-Root	lightcyan	Solyc11g005630.1	0.910623539306895	36
Adv-Root	lightcyan	Solyc04g081910.4	0.908661040626082	36
Adv-Root	lightcyan	Solyc03g083470.3	0.906566772389619	36
Adv-Root	lightcyan	Solyc10g055760.2	0.902642516082627	36
Adv-Root	lightcyan	Solyc01g089880.3	0.893345811867016	36
Adv-Root	lightcyan	Solyc06g063190.3	0.889149444220712	36
