"amplicon","amplicon","compartment","term","df","sum_sq","r2","f_stat","p_value","n_samples"
"16S","16S","leaf","Model",3,1.27554658411069,0.415196854123548,4.02320368820969,0.001,21
"16S","16S","leaf","Residual",17,1.79660237714115,0.584803145876452,NA,NA,21
"16S","16S","leaf","Total",20,3.07214896125184,1,NA,NA,21
"16S","16S","AdvRoot","Model",2,1.53316825839156,0.327795794181543,2.92585905899617,0.001,15
"16S","16S","AdvRoot","Residual",12,3.14403714084075,0.672204205818457,NA,NA,15
"16S","16S","AdvRoot","Total",14,4.67720539923231,1,NA,NA,15
"16S","16S","root","Model",1,1.04573253980814,0.568785627601185,10.5522573273626,0.007,10
"16S","16S","root","Residual",8,0.792802910214474,0.431214372398816,NA,NA,10
"16S","16S","root","Total",9,1.83853545002261,1,NA,NA,10
"16S","16S","wick","Model",1,0.934912196308347,0.536953802477541,6.95767038386916,0.034,8
"16S","16S","wick","Residual",6,0.806228646711294,0.463046197522459,NA,NA,8
"16S","16S","wick","Total",7,1.74114084301964,1,NA,NA,8
"16S","16S","soil","Model",1,2.38324167454536,0.556351858166437,27.5888473894553,0.001,24
"16S","16S","soil","Residual",22,1.90045332810959,0.443648141833564,NA,NA,24
"16S","16S","soil","Total",23,4.28369500265495,1,NA,NA,24
"ITS","ITS","leaf","Model",3,0.0498133570444531,0.450674457575436,3.8285994483393,0.054,18
"ITS","ITS","leaf","Residual",14,0.0607173291462882,0.549325542424564,NA,NA,18
"ITS","ITS","leaf","Total",17,0.110530686190741,1,NA,NA,18
"ITS","ITS","AdvRoot","Model",2,2.40562441316533,0.645471392458996,8.19291082378885,0.001,12
"ITS","ITS","AdvRoot","Residual",9,1.32130204906072,0.354528607541004,NA,NA,12
"ITS","ITS","AdvRoot","Total",11,3.72692646222605,1,NA,NA,12
"ITS","ITS","root","Model",1,0.222106359560465,0.19765566030159,1.72443370465006,0.26,9
"ITS","ITS","root","Residual",7,0.901597151998815,0.80234433969841,NA,NA,9
"ITS","ITS","root","Total",8,1.12370351155928,1,NA,NA,9
"ITS","ITS","wick","Model",1,1.19563361286608,0.50394236123636,6.09536862481188,0.034,8
"ITS","ITS","wick","Residual",6,1.17692663377154,0.49605763876364,NA,NA,8
"ITS","ITS","wick","Total",7,2.37256024663762,1,NA,NA,8
"ITS","ITS","soil","Model",1,0.697545362642962,0.271837760152422,5.9731251147398,0.015,18
"ITS","ITS","soil","Residual",16,1.86849021038354,0.728162239847578,NA,NA,18
"ITS","ITS","soil","Total",17,2.5660355730265,1,NA,NA,18
